query_id,user_id,query_text,category,use_case,budget_min,budget_max,preferred_brand,primary_preference,pref_performance,pref_battery,pref_portability,pref_display,pref_camera,pref_audio,pref_gaming,pref_office,pref_connectivity,pref_quality,pref_sustainability,query_time,split
Q000017,U00835,想买一款平板电脑，平时差旅通勤，预算不超过4000元，比较看重续航持久,平板电脑,差旅通勤,2999,4000,玄甲,battery,0.02426,0.41,0.21607,0.03267,0.01412,0.04025,0.01412,0.02959,0.12005,0.08474,0.01412,2026-03-15T01:20:00+10:00,train
Q000018,U01294,请推荐适合内容创作的头戴耳机，预算1100元左右，优先考虑品质可靠,头戴耳机,内容创作,599,1100,矩阵,quality,0.18947,0.0317,0.03876,0.17193,0.1193,0.03067,0.01403,0.01403,0.03057,0.34551,0.01403,2026-03-15T01:46:00+10:00,train
Q000019,U00168,预算9100元，主要用于影音娱乐，希望性能流畅，帮我推荐笔记本电脑,笔记本电脑,影音娱乐,6899,9100,极昼,performance,0.32306,0.14194,0.02838,0.209,0.01437,0.17607,0.02514,0.03893,0.01437,0.01437,0.01437,2026-03-15T02:16:00+10:00,train
Q000020,U00246,请推荐适合影音娱乐的笔记本电脑，预算7700元左右，优先考虑轻便易携带,笔记本电脑,影音娱乐,4499,7700,星云,portability,0.10498,0.14317,0.24541,0.21935,0.01428,0.17492,0.03532,0.01972,0.01428,0.01428,0.01428,2026-03-15T02:54:00+10:00,train
Q000021,U01789,想买一款智能手机，平时轻度游戏，预算不超过5400元，比较看重连接稳定,智能手机,轻度游戏,3799,5400,星云,connectivity,0.1784,0.03631,0.02215,0.1555,0.03313,0.01412,0.1906,0.01412,0.25684,0.08471,0.01412,2026-03-15T03:25:00+10:00,train
Q000022,U00656,预算1500元，主要用于影音娱乐，希望续航持久，帮我推荐头戴耳机,头戴耳机,影音娱乐,899,1500,玄甲,battery,0.0889,0.36453,0.03053,0.20002,0.01482,0.19712,0.01482,0.01482,0.02231,0.03733,0.01482,2026-03-15T03:55:00+10:00,train
Q000023,U00705,请推荐适合影音娱乐的笔记本电脑，预算9900元左右，优先考虑屏幕素质好,笔记本电脑,影音娱乐,7299,9900,极昼,display,0.10405,0.13313,0.02947,0.42765,0.01447,0.1773,0.03622,0.03429,0.01447,0.01447,0.01447,2026-03-15T04:25:00+10:00,train
Q000024,U01214,2100元以内的头戴耳机，差旅通勤用，要求续航持久,头戴耳机,差旅通勤,1299,2100,矩阵,battery,0.01444,0.43226,0.21444,0.01444,0.01444,0.03879,0.01444,0.01444,0.13009,0.0978,0.01444,2026-03-15T04:51:00+10:00,train
Q000025,U00410,请推荐适合差旅通勤的智能手机，预算3800元左右，优先考虑拍照清晰,智能手机,差旅通勤,2499,3800,极昼,camera,0.02255,0.19513,0.2139,0.03652,0.25087,0.01402,0.01402,0.01402,0.14087,0.0841,0.01402,2026-03-15T05:16:00+10:00,train
Q000026,U01774,预算4100元，主要用于学习办公，希望性能流畅，帮我推荐平板电脑,平板电脑,学习办公,2999,4100,云驰,performance,0.24518,0.1782,0.15466,0.11902,0.01406,0.02478,0.01406,0.20787,0.01406,0.01406,0.01406,2026-03-15T05:59:00+10:00,train
Q000027,U01134,预算2800元，主要用于差旅通勤，希望办公效率高，帮我推荐显示器,显示器,差旅通勤,1699,2800,森屿,office,0.01451,0.18685,0.19592,0.02472,0.01451,0.01451,0.03125,0.24819,0.14598,0.10903,0.01451,2026-03-15T06:17:00+10:00,train
Q000028,U01882,预算3500元，主要用于内容创作，希望游戏体验稳定，帮我推荐显示器,显示器,内容创作,2499,3500,星云,gaming,0.19251,0.01426,0.01426,0.19771,0.12121,0.01426,0.25086,0.03078,0.03689,0.113,0.01426,2026-03-15T06:57:00+10:00,train
Q000029,U02293,想买一款智能手机，平时影音娱乐，预算不超过4900元，比较看重拍照清晰,智能手机,影音娱乐,3099,4900,云驰,camera,0.10895,0.13666,0.02527,0.20558,0.26493,0.17669,0.01442,0.01442,0.02423,0.01442,0.01442,2026-03-15T07:16:00+10:00,train
Q000030,U00018,想买一款笔记本电脑，平时编程开发，预算不超过5900元，比较看重屏幕素质好,笔记本电脑,编程开发,3499,5900,森屿,display,0.20115,0.12505,0.02763,0.35662,0.01381,0.01381,0.02558,0.19491,0.01381,0.01381,0.01381,2026-03-15T07:57:00+10:00,train
Q000031,U01168,请推荐适合编程开发的智能手机，预算8900元左右，优先考虑屏幕素质好,智能手机,编程开发,6199,8900,澄光,display,0.21033,0.12615,0.02214,0.35443,0.02003,0.01437,0.01437,0.17608,0.03335,0.01437,0.01437,2026-03-15T08:11:00+10:00,train
Q000032,U01166,请推荐适合差旅通勤的笔记本电脑，预算9900元左右，优先考虑办公效率高,笔记本电脑,差旅通勤,7599,9900,云驰,office,0.02541,0.20194,0.21116,0.03577,0.01408,0.01408,0.03131,0.24794,0.11972,0.08451,0.01408,2026-03-15T08:44:00+10:00,train
Q000033,U00686,1100元以内的键鼠套装，内容创作用，要求轻便易携带,键鼠套装,内容创作,799,1100,玄甲,portability,0.18636,0.0138,0.25377,0.16911,0.11734,0.0138,0.03258,0.03876,0.039,0.12165,0.0138,2026-03-15T09:15:00+10:00,train
Q000034,U00351,预算5900元，主要用于内容创作，希望性能流畅，帮我推荐智能手机,智能手机,内容创作,3599,5900,极昼,performance,0.43871,0.02176,0.02195,0.18868,0.13768,0.01419,0.01419,0.01419,0.03162,0.10286,0.01419,2026-03-15T09:45:00+10:00,train
Q000035,U00079,想买一款智能手机，平时学习办公，预算不超过3600元，比较看重屏幕素质好,智能手机,学习办公,2699,3600,极昼,display,0.03944,0.16481,0.15552,0.33555,0.03865,0.01401,0.01401,0.18916,0.02082,0.01401,0.01401,2026-03-15T10:17:00+10:00,train
Q000036,U00491,想买一款笔记本电脑，平时影音娱乐，预算不超过8800元，比较看重屏幕素质好,笔记本电脑,影音娱乐,5899,8800,星云,display,0.10961,0.13858,0.02811,0.44012,0.01444,0.17689,0.02687,0.02207,0.01444,0.01444,0.01444,2026-03-15T10:42:00+10:00,train
Q000037,U00578,预算10800元，主要用于编程开发，希望游戏体验稳定，帮我推荐笔记本电脑,笔记本电脑,编程开发,7399,10800,澄光,gaming,0.20863,0.11325,0.02531,0.13556,0.01455,0.01455,0.24791,0.19657,0.01455,0.01455,0.01455,2026-03-15T11:27:00+10:00,train
Q000038,U02126,预算1100元，主要用于差旅通勤，希望连接稳定，帮我推荐头戴耳机,头戴耳机,差旅通勤,699,1100,森屿,connectivity,0.01417,0.19455,0.213,0.01417,0.01417,0.02912,0.01417,0.01417,0.36745,0.11087,0.01417,2026-03-15T11:57:00+10:00,train
Q000039,U00046,想买一款笔记本电脑，平时内容创作，预算不超过4600元，比较看重屏幕素质好,笔记本电脑,内容创作,3399,4600,澄光,display,0.21107,0.0332,0.02786,0.39689,0.11712,0.01378,0.03421,0.03842,0.01378,0.09989,0.01378,2026-03-15T12:17:00+10:00,train
Q000040,U01028,700元以内的键鼠套装，差旅通勤用，要求办公效率高,键鼠套装,差旅通勤,399,700,极昼,office,0.01458,0.18772,0.22373,0.01458,0.01458,0.01458,0.03663,0.25164,0.13412,0.09327,0.01458,2026-03-15T12:41:00+10:00,train
Q000041,U01889,7200元以内的笔记本电脑，编程开发用，要求续航持久,笔记本电脑,编程开发,4699,7200,岚川,battery,0.20915,0.34569,0.03369,0.13276,0.0142,0.0142,0.02224,0.18547,0.0142,0.0142,0.0142,2026-03-15T13:21:00+10:00,train
Q000042,U00280,预算7500元，主要用于影音娱乐，希望办公效率高，帮我推荐笔记本电脑,笔记本电脑,影音娱乐,4399,7500,极昼,office,0.09899,0.14021,0.0232,0.20718,0.01489,0.18237,0.03078,0.25772,0.01489,0.01489,0.01489,2026-03-15T13:52:00+10:00,train
Q000043,U00400,9800元以内的笔记本电脑，影音娱乐用，要求轻便易携带,笔记本电脑,影音娱乐,5899,9800,澄光,portability,0.10521,0.13864,0.26474,0.21213,0.01445,0.17697,0.02232,0.02221,0.01445,0.01445,0.01445,2026-03-15T14:27:00+10:00,train
Q000044,U00072,预算5600元，主要用于影音娱乐，希望音质和降噪好，帮我推荐平板电脑,平板电脑,影音娱乐,3199,5600,星云,audio,0.10065,0.14792,0.0258,0.21018,0.01439,0.4123,0.01439,0.03123,0.01439,0.01439,0.01439,2026-03-15T14:48:00+10:00,train
Q000045,U01638,请推荐适合学习办公的笔记本电脑，预算6600元左右，优先考虑办公效率高,笔记本电脑,学习办公,3899,6600,澄光,office,0.03545,0.17656,0.1472,0.12084,0.01404,0.01404,0.02252,0.42723,0.01404,0.01404,0.01404,2026-03-15T15:26:00+10:00,train
Q000046,U01245,预算2300元，主要用于差旅通勤，希望办公效率高，帮我推荐显示器,显示器,差旅通勤,1799,2300,矩阵,office,0.01459,0.18784,0.19696,0.03064,0.01459,0.01459,0.02815,0.26314,0.13873,0.09617,0.01459,2026-03-15T15:52:00+10:00,train
Q000047,U00963,请推荐适合学习办公的键鼠套装，预算1000元左右，优先考虑品质可靠,键鼠套装,学习办公,599,1000,森屿,quality,0.01424,0.15665,0.15737,0.10325,0.01424,0.01424,0.02869,0.21816,0.03525,0.24367,0.01424,2026-03-15T16:26:00+10:00,train
Q000048,U00475,预算6500元，主要用于差旅通勤，希望屏幕素质好，帮我推荐智能手机,智能手机,差旅通勤,4599,6500,星云,display,0.02811,0.20296,0.21295,0.24323,0.02702,0.01407,0.01407,0.01407,0.14499,0.08444,0.01407,2026-03-15T16:51:00+10:00,train
Q000049,U02453,3500元以内的平板电脑，编程开发用，要求音质和降噪好,平板电脑,编程开发,2399,3500,星云,audio,0.19843,0.11961,0.03239,0.13077,0.01412,0.25904,0.01412,0.18917,0.01412,0.01412,0.01412,2026-03-15T17:25:00+10:00,train
Q000050,U02235,想买一款显示器，平时差旅通勤，预算不超过6000元，比较看重办公效率高,显示器,差旅通勤,3999,6000,星云,office,0.01426,0.18357,0.19248,0.03155,0.01426,0.01426,0.03379,0.2561,0.14461,0.10087,0.01426,2026-03-15T17:57:00+10:00,train
Q000051,U02143,想买一款智能手机，平时影音娱乐，预算不超过5500元，比较看重续航持久,智能手机,影音娱乐,3799,5500,澄光,battery,0.09284,0.36216,0.03777,0.21665,0.03352,0.17785,0.01452,0.01452,0.02114,0.01452,0.01452,2026-03-15T18:14:00+10:00,train
Q000052,U02208,想买一款笔记本电脑，平时内容创作，预算不超过6900元，比较看重续航持久,笔记本电脑,内容创作,4999,6900,澄光,battery,0.20249,0.23935,0.03496,0.19331,0.1183,0.01392,0.03101,0.03792,0.01392,0.10091,0.01392,2026-03-15T18:53:00+10:00,train
Q000053,U02158,想买一款平板电脑，平时编程开发，预算不超过4600元，比较看重音质和降噪好,平板电脑,编程开发,3399,4600,岚川,audio,0.20778,0.11974,0.03008,0.14374,0.01412,0.24553,0.01412,0.18251,0.01412,0.01412,0.01412,2026-03-15T19:26:00+10:00,train
Q000054,U02246,想买一款笔记本电脑，平时编程开发，预算不超过7800元，比较看重轻便易携带,笔记本电脑,编程开发,4799,7800,极昼,portability,0.1973,0.12497,0.255,0.13623,0.01383,0.01383,0.03139,0.18596,0.01383,0.01383,0.01383,2026-03-15T19:52:00+10:00,train
Q000055,U01360,请推荐适合影音娱乐的笔记本电脑，预算10000元左右，优先考虑办公效率高,笔记本电脑,影音娱乐,6599,10000,澄光,office,0.1023,0.1479,0.03879,0.20161,0.01445,0.17702,0.02615,0.24843,0.01445,0.01445,0.01445,2026-03-15T20:20:00+10:00,train
Q000056,U00862,请推荐适合差旅通勤的平板电脑，预算4900元左右，优先考虑屏幕素质好,平板电脑,差旅通勤,3399,4900,澄光,display,0.03187,0.20362,0.21465,0.24659,0.01441,0.03007,0.01441,0.02095,0.12252,0.08648,0.01441,2026-03-15T20:42:00+10:00,train
Q000057,U02326,想买一款键鼠套装，平时学习办公，预算不超过1000元，比较看重游戏体验稳定,键鼠套装,学习办公,599,1000,森屿,gaming,0.01432,0.15757,0.15001,0.10385,0.01432,0.01432,0.26117,0.2044,0.03753,0.02817,0.01432,2026-03-15T21:10:00+10:00,train
Q000058,U02349,7200元以内的智能手机，影音娱乐用，要求拍照清晰,智能手机,影音娱乐,4099,7200,极昼,camera,0.09255,0.1491,0.02364,0.21374,0.26321,0.17632,0.01439,0.01439,0.02386,0.01439,0.01439,2026-03-15T21:58:00+10:00,train
Q000059,U00570,2400元以内的头戴耳机，学习办公用，要求连接稳定,头戴耳机,学习办公,1699,2400,星云,connectivity,0.01413,0.17545,0.15089,0.10247,0.01413,0.0378,0.01413,0.19081,0.25503,0.03101,0.01413,2026-03-15T22:29:00+10:00,train
Q000060,U00515,6800元以内的智能手机，差旅通勤用，要求拍照清晰,智能手机,差旅通勤,4099,6800,岚川,camera,0.04155,0.19586,0.20258,0.02357,0.25256,0.01451,0.01451,0.01451,0.13874,0.08708,0.01451,2026-03-15T22:44:00+10:00,train
Q000061,U01673,请推荐适合差旅通勤的智能手机，预算4800元左右，优先考虑连接稳定,智能手机,差旅通勤,2599,4800,极昼,connectivity,0.02064,0.20583,0.20641,0.02926,0.03683,0.01438,0.01438,0.01438,0.35728,0.08625,0.01438,2026-03-15T23:22:00+10:00,train
Q000062,U01953,请推荐适合影音娱乐的平板电脑，预算4100元左右，优先考虑轻便易携带,平板电脑,影音娱乐,2999,4100,矩阵,portability,0.0955,0.13107,0.26501,0.21382,0.01449,0.18391,0.01449,0.03825,0.01449,0.01449,0.01449,2026-03-15T23:48:00+10:00,train
Q000063,U02101,想买一款笔记本电脑，平时内容创作，预算不超过7900元，比较看重性能流畅,笔记本电脑,内容创作,5499,7900,云驰,performance,0.42975,0.03338,0.02275,0.19526,0.11837,0.01393,0.03648,0.02127,0.01393,0.10096,0.01393,2026-03-16T00:22:00+10:00,train
Q000064,U01876,5500元以内的平板电脑，学习办公用，要求屏幕素质好,平板电脑,学习办公,3999,5500,星云,display,0.02381,0.16976,0.15577,0.33995,0.01427,0.03617,0.01427,0.20319,0.01427,0.01427,0.01427,2026-03-16T00:47:00+10:00,train
Q000065,U01292,请推荐适合轻度游戏的智能手机，预算4100元左右，优先考虑屏幕素质好,智能手机,轻度游戏,3099,4100,云驰,display,0.1861,0.02782,0.03375,0.37107,0.03489,0.01415,0.19107,0.01415,0.02793,0.08492,0.01415,2026-03-16T01:30:00+10:00,train
Q000066,U01052,请推荐适合编程开发的笔记本电脑，预算7800元左右，优先考虑游戏体验稳定,笔记本电脑,编程开发,5299,7800,澄光,gaming,0.20627,0.11975,0.02826,0.13231,0.01453,0.01453,0.2477,0.19308,0.01453,0.01453,0.01453,2026-03-16T01:57:00+10:00,train
Q000067,U01022,想买一款键鼠套装，平时差旅通勤，预算不超过1900元，比较看重轻便易携带,键鼠套装,差旅通勤,1099,1900,岚川,portability,0.0146,0.18794,0.44854,0.0146,0.0146,0.0146,0.02583,0.02914,0.13429,0.10128,0.0146,2026-03-16T02:17:00+10:00,train
Q000068,U00742,想买一款平板电脑，平时影音娱乐，预算不超过5800元，比较看重办公效率高,平板电脑,影音娱乐,3199,5800,玄甲,office,0.098,0.1345,0.0243,0.21015,0.01452,0.19965,0.01452,0.26079,0.01452,0.01452,0.01452,2026-03-16T02:44:00+10:00,train
Q000069,U01487,5800元以内的笔记本电脑，差旅通勤用，要求游戏体验稳定,笔记本电脑,差旅通勤,4299,5800,云驰,gaming,0.03659,0.19689,0.20794,0.02998,0.01444,0.01444,0.25305,0.02286,0.12273,0.08663,0.01444,2026-03-16T03:25:00+10:00,train
Q000070,U00670,1000元以内的头戴耳机，学习办公用，要求连接稳定,头戴耳机,学习办公,699,1000,星云,connectivity,0.01425,0.1833,0.14768,0.10334,0.01425,0.02785,0.01425,0.19243,0.26019,0.0282,0.01425,2026-03-16T04:00:00+10:00,train
Q000071,U01159,请推荐适合内容创作的智能手机，预算3500元左右，优先考虑性能流畅,智能手机,内容创作,2099,3500,极昼,performance,0.43128,0.02941,0.02278,0.19622,0.13557,0.01432,0.01432,0.01432,0.02366,0.10382,0.01432,2026-03-16T04:11:00+10:00,train
Q000072,U00001,预算5700元，主要用于轻度游戏，希望连接稳定，帮我推荐智能手机,智能手机,轻度游戏,3199,5700,岚川,connectivity,0.18825,0.03721,0.03838,0.14317,0.03124,0.01406,0.18984,0.01406,0.24534,0.08437,0.01406,2026-03-16T04:40:00+10:00,train
Q000073,U00342,预算900元，主要用于影音娱乐，希望轻便易携带，帮我推荐键鼠套装,键鼠套装,影音娱乐,599,900,岚川,portability,0.08792,0.12455,0.25989,0.19781,0.01465,0.1795,0.02643,0.03768,0.0255,0.03143,0.01465,2026-03-16T05:11:00+10:00,train
Q000074,U01171,请推荐适合差旅通勤的显示器，预算2300元左右，优先考虑游戏体验稳定,显示器,差旅通勤,1299,2300,岚川,gaming,0.01452,0.18699,0.19607,0.02658,0.01452,0.01452,0.25902,0.02028,0.14428,0.10868,0.01452,2026-03-16T05:48:00+10:00,train
Q000075,U01433,预算2700元，主要用于内容创作，希望性能流畅，帮我推荐智能手机,智能手机,内容创作,1999,2700,矩阵,performance,0.42212,0.02747,0.02307,0.19944,0.13815,0.01418,0.01418,0.01418,0.03022,0.10281,0.01418,2026-03-16T06:25:00+10:00,train
Q000076,U00665,想买一款键鼠套装，平时内容创作，预算不超过1000元，比较看重游戏体验稳定,键鼠套装,内容创作,699,1000,极昼,gaming,0.19393,0.01436,0.02329,0.17597,0.1221,0.01436,0.25478,0.02621,0.0405,0.12012,0.01436,2026-03-16T06:59:00+10:00,train
Q000077,U01692,6800元以内的智能手机，轻度游戏用，要求续航持久,智能手机,轻度游戏,5199,6800,云驰,battery,0.18244,0.25529,0.03913,0.14387,0.03455,0.01403,0.18946,0.01403,0.02895,0.08421,0.01403,2026-03-16T07:24:00+10:00,train
Q000078,U00113,请推荐适合内容创作的头戴耳机，预算3000元左右，优先考虑音质和降噪好,头戴耳机,内容创作,2199,3000,极昼,audio,0.19418,0.0373,0.03066,0.1762,0.12226,0.25135,0.01438,0.01438,0.03144,0.11345,0.01438,2026-03-16T07:54:00+10:00,train
Q000079,U01752,1600元以内的键鼠套装，编程开发用，要求办公效率高,键鼠套装,编程开发,999,1600,岚川,office,0.1997,0.10724,0.02394,0.12573,0.01479,0.01479,0.02874,0.42553,0.02053,0.02422,0.01479,2026-03-16T08:29:00+10:00,train
Q000080,U00051,2000元以内的头戴耳机，学习办公用，要求续航持久,头戴耳机,学习办公,1199,2000,矩阵,battery,0.01445,0.3921,0.15319,0.1048,0.01445,0.02096,0.01445,0.19514,0.04003,0.03597,0.01445,2026-03-16T08:55:00+10:00,train
Q000081,U01435,请推荐适合轻度游戏的头戴耳机，预算1800元左右，优先考虑轻便易携带,头戴耳机,轻度游戏,1399,1800,云驰,portability,0.17598,0.02839,0.2625,0.14007,0.01437,0.03039,0.19394,0.01437,0.02257,0.10307,0.01437,2026-03-16T09:23:00+10:00,train
Q000082,U00204,6900元以内的平板电脑，影音娱乐用，要求音质和降噪好,平板电脑,影音娱乐,4599,6900,玄甲,audio,0.09491,0.14078,0.04036,0.2124,0.0143,0.41579,0.0143,0.02429,0.0143,0.0143,0.0143,2026-03-16T09:50:00+10:00,train
Q000083,U02459,想买一款键鼠套装，平时差旅通勤，预算不超过500元，比较看重游戏体验稳定,键鼠套装,差旅通勤,299,500,星云,gaming,0.01424,0.18338,0.20726,0.01424,0.01424,0.01424,0.25666,0.02993,0.14416,0.10739,0.01424,2026-03-16T10:11:00+10:00,train
Q000084,U00944,2700元以内的头戴耳机，学习办公用，要求轻便易携带,头戴耳机,学习办公,1899,2700,森屿,portability,0.01429,0.17554,0.38829,0.10358,0.01429,0.02635,0.01429,0.19287,0.03177,0.02445,0.01429,2026-03-16T10:59:00+10:00,train
Q000085,U02199,预算9400元，主要用于学习办公，希望游戏体验稳定，帮我推荐笔记本电脑,笔记本电脑,学习办公,5899,9400,玄甲,gaming,0.03054,0.17713,0.15411,0.11844,0.01388,0.01388,0.24191,0.20847,0.01388,0.01388,0.01388,2026-03-16T11:20:00+10:00,train
Q000086,U02400,预算3800元，主要用于内容创作，希望屏幕素质好，帮我推荐智能手机,智能手机,内容创作,2199,3800,岚川,display,0.20892,0.02136,0.02687,0.40144,0.14375,0.01413,0.01413,0.01413,0.0387,0.10245,0.01413,2026-03-16T11:58:00+10:00,train
Q000087,U00489,想买一款平板电脑，平时差旅通勤，预算不超过2300元，比较看重音质和降噪好,平板电脑,差旅通勤,1799,2300,澄光,audio,0.0268,0.20416,0.21718,0.03133,0.0143,0.25043,0.0143,0.0198,0.12157,0.08582,0.0143,2026-03-16T12:28:00+10:00,train
Q000088,U01292,预算500元，主要用于影音娱乐，希望轻便易携带，帮我推荐头戴耳机,头戴耳机,影音娱乐,299,500,云驰,portability,0.08932,0.14999,0.25499,0.20096,0.01489,0.1989,0.01489,0.01489,0.02481,0.0215,0.01489,2026-03-16T12:46:00+10:00,train
Q000089,U01004,预算1400元，主要用于内容创作，希望音质和降噪好，帮我推荐头戴耳机,头戴耳机,内容创作,999,1400,矩阵,audio,0.19759,0.02375,0.02967,0.17929,0.12441,0.25436,0.01464,0.01464,0.02934,0.11768,0.01464,2026-03-16T13:26:00+10:00,train
Q000090,U01519,9000元以内的笔记本电脑，学习办公用，要求续航持久,笔记本电脑,学习办公,6499,9000,澄光,battery,0.0291,0.38433,0.15469,0.12166,0.01423,0.01423,0.0249,0.21419,0.01423,0.01423,0.01423,2026-03-16T13:41:00+10:00,train
Q000091,U00955,请推荐适合差旅通勤的智能手机，预算4400元左右，优先考虑屏幕素质好,智能手机,差旅通勤,3199,4400,云驰,display,0.03968,0.20483,0.20693,0.24469,0.02606,0.01439,0.01439,0.01439,0.13395,0.08631,0.01439,2026-03-16T14:11:00+10:00,train
Q000092,U00134,请推荐适合编程开发的笔记本电脑，预算8800元左右，优先考虑屏幕素质好,笔记本电脑,编程开发,6099,8800,星云,display,0.21669,0.12375,0.02817,0.35379,0.01423,0.01423,0.02237,0.18406,0.01423,0.01423,0.01423,2026-03-16T14:45:00+10:00,train
Q000093,U01906,7200元以内的智能手机，学习办公用，要求连接稳定,智能手机,学习办公,4299,7200,极昼,connectivity,0.02504,0.17311,0.15266,0.11368,0.03002,0.01414,0.01414,0.19083,0.25811,0.01414,0.01414,2026-03-16T15:23:00+10:00,train
Q000094,U00606,预算1300元，主要用于轻度游戏，希望轻便易携带，帮我推荐头戴耳机,头戴耳机,轻度游戏,799,1300,玄甲,portability,0.18043,0.02246,0.26426,0.14361,0.01473,0.02085,0.19884,0.01473,0.03114,0.09424,0.01473,2026-03-16T15:59:00+10:00,train
Q000095,U01620,想买一款笔记本电脑，平时轻度游戏，预算不超过10000元，比较看重轻便易携带,笔记本电脑,轻度游戏,7699,10000,澄光,portability,0.18224,0.03671,0.24238,0.14767,0.01399,0.01399,0.21328,0.03785,0.01399,0.08392,0.01399,2026-03-16T16:30:00+10:00,train
