interaction_id,query_id,user_id,product_id,position,clicked,added_to_cart,purchased,dwell_seconds,relevance_grade,event_time,split
I00000049,Q000005,U00348,P00390,1,1,0,0,55.0,3,2026-03-14T19:12:54+10:00,train
I00000050,Q000005,U00348,P00457,2,1,1,0,71.6,3,2026-03-14T19:13:00+10:00,train
I00000051,Q000005,U00348,P00373,3,1,0,0,39.9,2,2026-03-14T19:12:56+10:00,train
I00000052,Q000005,U00348,P00379,4,1,0,0,41.9,2,2026-03-14T19:12:42+10:00,train
I00000053,Q000005,U00348,P00471,5,0,0,0,0,3,2026-03-14T19:13:10+10:00,train
I00000054,Q000005,U00348,P00452,6,0,0,0,0,3,2026-03-14T19:13:17+10:00,train
I00000055,Q000005,U00348,P00456,7,1,1,1,61.2,3,2026-03-14T19:13:39+10:00,train
I00000056,Q000005,U00348,P00476,8,0,0,0,0,1,2026-03-14T19:13:34+10:00,train
I00000057,Q000005,U00348,P00461,9,1,0,0,78.9,3,2026-03-14T19:13:15+10:00,train
I00000058,Q000005,U00348,P00433,10,0,0,0,0,3,2026-03-14T19:13:30+10:00,train
I00000059,Q000005,U00348,P00459,11,1,0,0,46.7,3,2026-03-14T19:13:27+10:00,train
I00000060,Q000005,U00348,P00403,12,0,0,0,0,2,2026-03-14T19:13:47+10:00,train
I00000061,Q000006,U00823,P00363,1,0,0,0,0,1,2026-03-14T19:54:53+10:00,train
I00000062,Q000006,U00823,P00402,2,1,0,0,57.4,2,2026-03-14T19:54:54+10:00,train
I00000063,Q000006,U00823,P00393,3,1,0,0,37.5,1,2026-03-14T19:54:28+10:00,train
I00000064,Q000006,U00823,P00384,4,0,0,0,0,1,2026-03-14T19:55:18+10:00,train
I00000065,Q000006,U00823,P00361,5,0,0,0,0,1,2026-03-14T19:54:40+10:00,train
I00000066,Q000006,U00823,P00424,6,0,0,0,0,0,2026-03-14T19:54:51+10:00,train
I00000067,Q000006,U00823,P00419,7,0,0,0,0,2,2026-03-14T19:54:57+10:00,train
I00000068,Q000006,U00823,P00450,8,0,0,0,0,0,2026-03-14T19:55:40+10:00,train
I00000069,Q000006,U00823,P00470,9,0,0,0,0,0,2026-03-14T19:55:05+10:00,train
I00000070,Q000006,U00823,P00412,10,0,0,0,0,1,2026-03-14T19:55:38+10:00,train
I00000071,Q000006,U00823,P00372,11,0,0,0,0,0,2026-03-14T19:55:29+10:00,train
I00000072,Q000006,U00823,P00366,12,0,0,0,0,1,2026-03-14T19:55:27+10:00,train
I00000073,Q000007,U00953,P00075,1,1,1,0,56.9,3,2026-03-14T20:29:31+10:00,train
I00000074,Q000007,U00953,P00088,2,1,0,0,52.6,3,2026-03-14T20:29:27+10:00,train
I00000075,Q000007,U00953,P00066,3,1,1,0,51.0,2,2026-03-14T20:29:35+10:00,train
I00000076,Q000007,U00953,P00032,4,0,0,0,0,3,2026-03-14T20:29:53+10:00,train
I00000077,Q000007,U00953,P00098,5,0,0,0,0,1,2026-03-14T20:30:18+10:00,train
I00000078,Q000007,U00953,P00072,6,1,0,0,53.5,2,2026-03-14T20:29:58+10:00,train
I00000079,Q000007,U00953,P00008,7,1,0,0,31.5,2,2026-03-14T20:30:23+10:00,train
I00000080,Q000007,U00953,P00068,8,0,0,0,0,3,2026-03-14T20:30:28+10:00,train
I00000081,Q000007,U00953,P00010,9,0,0,0,0,3,2026-03-14T20:30:10+10:00,train
I00000082,Q000007,U00953,P00037,10,1,1,1,54.4,3,2026-03-14T20:31:00+10:00,train
I00000083,Q000007,U00953,P00094,11,0,0,0,0,1,2026-03-14T20:30:44+10:00,train
I00000084,Q000007,U00953,P00040,12,1,0,0,69.0,3,2026-03-14T20:31:08+10:00,train
I00000085,Q000008,U01576,P00069,1,0,0,0,0,3,2026-03-14T20:51:57+10:00,train
I00000086,Q000008,U01576,P00118,2,0,0,0,0,2,2026-03-14T20:51:34+10:00,train
I00000087,Q000008,U01576,P00085,3,1,0,0,59.0,3,2026-03-14T20:51:34+10:00,train
I00000088,Q000008,U01576,P00046,4,0,0,0,0,3,2026-03-14T20:51:41+10:00,train
I00000089,Q000008,U01576,P00065,5,1,1,0,40.9,2,2026-03-14T20:52:00+10:00,train
I00000090,Q000008,U01576,P00073,6,1,1,1,60.4,3,2026-03-14T20:52:06+10:00,train
I00000091,Q000008,U01576,P00080,7,0,0,0,0,2,2026-03-14T20:52:17+10:00,train
I00000092,Q000008,U01576,P00001,8,0,0,0,0,3,2026-03-14T20:52:25+10:00,train
I00000093,Q000008,U01576,P00107,9,0,0,0,0,1,2026-03-14T20:52:53+10:00,train
I00000094,Q000008,U01576,P00035,10,0,0,0,0,1,2026-03-14T20:52:34+10:00,train
I00000095,Q000008,U01576,P00015,11,0,0,0,0,1,2026-03-14T20:52:21+10:00,train
I00000096,Q000008,U01576,P00037,12,0,0,0,0,3,2026-03-14T20:52:53+10:00,train
I00000097,Q000009,U01943,P00202,1,1,0,0,45.6,2,2026-03-14T21:20:35+10:00,train
I00000098,Q000009,U01943,P00166,2,1,0,0,42.3,2,2026-03-14T21:20:55+10:00,train
I00000099,Q000009,U01943,P00215,3,0,0,0,0,1,2026-03-14T21:20:46+10:00,train
I00000100,Q000009,U01943,P00150,4,1,0,0,67.2,2,2026-03-14T21:21:16+10:00,train
I00000101,Q000009,U01943,P00188,5,0,0,0,0,0,2026-03-14T21:20:52+10:00,train
I00000102,Q000009,U01943,P00182,6,0,0,0,0,0,2026-03-14T21:21:05+10:00,train
I00000103,Q000009,U01943,P00167,7,0,0,0,0,1,2026-03-14T21:21:20+10:00,train
I00000104,Q000009,U01943,P00139,8,0,0,0,0,0,2026-03-14T21:21:17+10:00,train
I00000105,Q000009,U01943,P00151,9,1,0,0,39.4,2,2026-03-14T21:21:37+10:00,train
I00000106,Q000009,U01943,P00230,10,0,0,0,0,0,2026-03-14T21:21:18+10:00,train
I00000107,Q000009,U01943,P00128,11,0,0,0,0,3,2026-03-14T21:22:01+10:00,train
I00000108,Q000009,U01943,P00148,12,0,0,0,0,0,2026-03-14T21:21:34+10:00,train
I00000109,Q000010,U01918,P00400,1,1,1,0,46.3,3,2026-03-14T21:54:16+10:00,train
I00000110,Q000010,U01918,P00457,2,0,0,0,0,1,2026-03-14T21:54:48+10:00,train
I00000111,Q000010,U01918,P00445,3,1,0,0,51.5,2,2026-03-14T21:54:33+10:00,train
I00000112,Q000010,U01918,P00376,4,1,0,0,51.1,2,2026-03-14T21:54:34+10:00,train
I00000113,Q000010,U01918,P00406,5,0,0,0,0,3,2026-03-14T21:54:36+10:00,train
I00000114,Q000010,U01918,P00473,6,0,0,0,0,2,2026-03-14T21:55:14+10:00,train
I00000115,Q000010,U01918,P00410,7,1,0,0,31.7,1,2026-03-14T21:55:17+10:00,train
I00000116,Q000010,U01918,P00417,8,1,1,0,34.9,2,2026-03-14T21:55:35+10:00,train
I00000117,Q000010,U01918,P00463,9,0,0,0,0,1,2026-03-14T21:55:05+10:00,train
I00000118,Q000010,U01918,P00458,10,1,0,0,44.3,2,2026-03-14T21:55:28+10:00,train
I00000119,Q000010,U01918,P00372,11,1,1,1,56.9,3,2026-03-14T21:55:43+10:00,train
I00000120,Q000010,U01918,P00451,12,1,1,1,33.8,2,2026-03-14T21:56:08+10:00,train
I00000121,Q000011,U01264,P00192,1,1,1,0,67.8,3,2026-03-14T22:12:17+10:00,train
I00000122,Q000011,U01264,P00137,2,1,0,0,60.4,3,2026-03-14T22:13:03+10:00,train
I00000123,Q000011,U01264,P00144,3,1,0,0,59.2,3,2026-03-14T22:12:21+10:00,train
I00000124,Q000011,U01264,P00197,4,0,0,0,0,2,2026-03-14T22:13:11+10:00,train
I00000125,Q000011,U01264,P00177,5,0,0,0,0,1,2026-03-14T22:13:11+10:00,train
I00000126,Q000011,U01264,P00204,6,1,0,0,66.1,3,2026-03-14T22:13:11+10:00,train
I00000127,Q000011,U01264,P00171,7,1,0,0,16.1,1,2026-03-14T22:12:56+10:00,train
I00000128,Q000011,U01264,P00216,8,1,1,0,46.7,3,2026-03-14T22:13:29+10:00,train
I00000129,Q000011,U01264,P00193,9,1,1,0,65.0,3,2026-03-14T22:13:35+10:00,train
I00000130,Q000011,U01264,P00195,10,1,1,0,62.3,3,2026-03-14T22:13:41+10:00,train
I00000131,Q000011,U01264,P00186,11,1,1,1,59.0,3,2026-03-14T22:13:59+10:00,train
I00000132,Q000011,U01264,P00173,12,0,0,0,0,2,2026-03-14T22:13:25+10:00,train
I00000133,Q000012,U01311,P00323,1,1,0,0,69.9,3,2026-03-14T22:47:57+10:00,train
I00000134,Q000012,U01311,P00241,2,0,0,0,0,1,2026-03-14T22:47:34+10:00,train
I00000135,Q000012,U01311,P00351,3,0,0,0,0,2,2026-03-14T22:47:42+10:00,train
I00000136,Q000012,U01311,P00348,4,0,0,0,0,2,2026-03-14T22:48:10+10:00,train
I00000137,Q000012,U01311,P00254,5,1,0,0,65.4,3,2026-03-14T22:48:23+10:00,train
I00000138,Q000012,U01311,P00331,6,0,0,0,0,2,2026-03-14T22:47:52+10:00,train
I00000139,Q000012,U01311,P00314,7,0,0,0,0,2,2026-03-14T22:48:20+10:00,train
I00000140,Q000012,U01311,P00355,8,1,0,0,33.5,2,2026-03-14T22:48:15+10:00,train
I00000141,Q000012,U01311,P00306,9,1,0,0,41.3,2,2026-03-14T22:48:47+10:00,train
I00000142,Q000012,U01311,P00299,10,0,0,0,0,2,2026-03-14T22:48:40+10:00,train
I00000143,Q000012,U01311,P00269,11,1,1,0,59.9,3,2026-03-14T22:48:44+10:00,train
I00000144,Q000012,U01311,P00266,12,0,0,0,0,1,2026-03-14T22:48:27+10:00,train
I00000145,Q000013,U02251,P00103,1,1,1,1,67.0,3,2026-03-14T23:21:10+10:00,train
I00000146,Q000013,U02251,P00030,2,0,0,0,0,2,2026-03-14T23:21:50+10:00,train
I00000147,Q000013,U02251,P00093,3,0,0,0,0,0,2026-03-14T23:21:46+10:00,train
I00000148,Q000013,U02251,P00113,4,1,0,0,43.5,2,2026-03-14T23:22:01+10:00,train
I00000149,Q000013,U02251,P00052,5,0,0,0,0,0,2026-03-14T23:21:36+10:00,train
I00000150,Q000013,U02251,P00050,6,0,0,0,0,2,2026-03-14T23:21:59+10:00,train
I00000151,Q000013,U02251,P00088,7,0,0,0,0,0,2026-03-14T23:22:28+10:00,train
I00000152,Q000013,U02251,P00017,8,1,0,0,34.1,2,2026-03-14T23:22:33+10:00,train
I00000153,Q000013,U02251,P00014,9,0,0,0,0,0,2026-03-14T23:22:39+10:00,train
I00000154,Q000013,U02251,P00110,10,0,0,0,0,2,2026-03-14T23:22:55+10:00,train
I00000155,Q000013,U02251,P00116,11,0,0,0,0,1,2026-03-14T23:22:57+10:00,train
I00000156,Q000013,U02251,P00090,12,0,0,0,0,1,2026-03-14T23:22:49+10:00,train
I00000157,Q000014,U01432,P00520,1,1,1,0,66.9,3,2026-03-14T23:44:52+10:00,train
I00000158,Q000014,U01432,P00512,2,1,1,0,60.4,3,2026-03-14T23:44:31+10:00,train
I00000159,Q000014,U01432,P00570,3,1,1,0,61.1,3,2026-03-14T23:44:53+10:00,train
I00000160,Q000014,U01432,P00523,4,1,0,0,38.1,2,2026-03-14T23:45:18+10:00,train
I00000161,Q000014,U01432,P00488,5,0,0,0,0,3,2026-03-14T23:45:15+10:00,train
I00000162,Q000014,U01432,P00527,6,0,0,0,0,3,2026-03-14T23:45:30+10:00,train
I00000163,Q000014,U01432,P00494,7,1,0,0,29.9,1,2026-03-14T23:44:56+10:00,train
I00000164,Q000014,U01432,P00559,8,1,0,0,66.9,2,2026-03-14T23:45:27+10:00,train
I00000165,Q000014,U01432,P00483,9,1,0,0,54.3,3,2026-03-14T23:45:36+10:00,train
I00000166,Q000014,U01432,P00489,10,1,0,0,19.5,2,2026-03-14T23:45:22+10:00,train
I00000167,Q000014,U01432,P00507,11,0,0,0,0,2,2026-03-14T23:46:04+10:00,train
I00000168,Q000014,U01432,P00533,12,1,0,0,49.9,2,2026-03-14T23:45:37+10:00,train
I00000169,Q000015,U02010,P00215,1,0,0,0,0,2,2026-03-15T00:11:12+10:00,train
I00000170,Q000015,U02010,P00212,2,1,1,1,42.3,2,2026-03-15T00:11:59+10:00,train
I00000171,Q000015,U02010,P00152,3,1,1,1,64.8,3,2026-03-15T00:12:11+10:00,train
I00000172,Q000015,U02010,P00202,4,0,0,0,0,2,2026-03-15T00:12:05+10:00,train
I00000173,Q000015,U02010,P00142,5,0,0,0,0,1,2026-03-15T00:11:53+10:00,train
I00000174,Q000015,U02010,P00233,6,1,0,0,35.0,2,2026-03-15T00:12:20+10:00,train
I00000175,Q000015,U02010,P00196,7,1,1,0,22.9,0,2026-03-15T00:12:19+10:00,train
I00000176,Q000015,U02010,P00238,8,0,0,0,0,0,2026-03-15T00:12:17+10:00,train
I00000177,Q000015,U02010,P00198,9,0,0,0,0,0,2026-03-15T00:12:10+10:00,train
I00000178,Q000015,U02010,P00178,10,0,0,0,0,1,2026-03-15T00:12:20+10:00,train
I00000179,Q000015,U02010,P00133,11,0,0,0,0,0,2026-03-15T00:12:58+10:00,train
I00000180,Q000015,U02010,P00175,12,0,0,0,0,2,2026-03-15T00:12:28+10:00,train
I00000181,Q000016,U00253,P00331,1,1,0,0,39.2,2,2026-03-15T01:00:50+10:00,train
I00000182,Q000016,U00253,P00354,2,1,0,0,56.5,2,2026-03-15T01:00:34+10:00,train
I00000183,Q000016,U00253,P00359,3,0,0,0,0,0,2026-03-15T01:00:27+10:00,train
I00000184,Q000016,U00253,P00293,4,1,0,0,39.8,2,2026-03-15T01:01:10+10:00,train
I00000185,Q000016,U00253,P00326,5,0,0,0,0,0,2026-03-15T01:01:17+10:00,train
I00000186,Q000016,U00253,P00318,6,0,0,0,0,2,2026-03-15T01:00:49+10:00,train
I00000187,Q000016,U00253,P00300,7,0,0,0,0,0,2026-03-15T01:01:13+10:00,train
I00000188,Q000016,U00253,P00349,8,1,0,0,60.5,2,2026-03-15T01:01:11+10:00,train
I00000189,Q000016,U00253,P00347,9,0,0,0,0,1,2026-03-15T01:01:06+10:00,train
I00000190,Q000016,U00253,P00256,10,0,0,0,0,1,2026-03-15T01:01:22+10:00,train
I00000191,Q000016,U00253,P00268,11,0,0,0,0,1,2026-03-15T01:01:35+10:00,train
I00000192,Q000016,U00253,P00253,12,0,0,0,0,2,2026-03-15T01:01:32+10:00,train
I00000193,Q000017,U00835,P00242,1,0,0,0,0,1,2026-03-15T01:20:13+10:00,train
I00000194,Q000017,U00835,P00254,2,0,0,0,0,2,2026-03-15T01:21:00+10:00,train
I00000195,Q000017,U00835,P00334,3,1,0,0,13.8,0,2026-03-15T01:21:02+10:00,train
I00000196,Q000017,U00835,P00294,4,0,0,0,0,2,2026-03-15T01:20:58+10:00,train
I00000197,Q000017,U00835,P00342,5,1,1,0,60.0,3,2026-03-15T01:21:05+10:00,train
I00000198,Q000017,U00835,P00293,6,1,0,0,60.6,3,2026-03-15T01:21:21+10:00,train
I00000199,Q000017,U00835,P00356,7,1,0,0,66.2,3,2026-03-15T01:21:00+10:00,train
I00000200,Q000017,U00835,P00318,8,0,0,0,0,2,2026-03-15T01:21:34+10:00,train
I00000201,Q000017,U00835,P00300,9,1,0,0,38.0,2,2026-03-15T01:21:04+10:00,train
I00000202,Q000017,U00835,P00314,10,1,0,0,12.6,1,2026-03-15T01:21:51+10:00,train
I00000203,Q000017,U00835,P00282,11,1,1,1,39.9,2,2026-03-15T01:22:02+10:00,train
I00000204,Q000017,U00835,P00272,12,1,0,0,13.8,0,2026-03-15T01:22:09+10:00,train
I00000205,Q000018,U01294,P00401,1,0,0,0,0,1,2026-03-15T01:46:31+10:00,train
I00000206,Q000018,U01294,P00476,2,1,1,1,50.0,2,2026-03-15T01:47:01+10:00,train
I00000207,Q000018,U01294,P00376,3,1,0,0,42.5,2,2026-03-15T01:46:50+10:00,train
I00000208,Q000018,U01294,P00469,4,0,0,0,0,2,2026-03-15T01:46:45+10:00,train
I00000209,Q000018,U01294,P00383,5,0,0,0,0,1,2026-03-15T01:46:55+10:00,train
I00000210,Q000018,U01294,P00420,6,0,0,0,0,1,2026-03-15T01:47:12+10:00,train
I00000211,Q000018,U01294,P00477,7,1,0,0,44.0,2,2026-03-15T01:47:15+10:00,train
I00000212,Q000018,U01294,P00367,8,1,0,0,38.3,1,2026-03-15T01:47:38+10:00,train
I00000213,Q000018,U01294,P00446,9,0,0,0,0,1,2026-03-15T01:47:16+10:00,train
I00000214,Q000018,U01294,P00459,10,0,0,0,0,0,2026-03-15T01:47:36+10:00,train
I00000215,Q000018,U01294,P00371,11,0,0,0,0,0,2026-03-15T01:47:54+10:00,train
I00000216,Q000018,U01294,P00451,12,0,0,0,0,0,2026-03-15T01:47:27+10:00,train
I00000217,Q000019,U00168,P00066,1,1,1,0,47.6,2,2026-03-15T02:16:46+10:00,train
I00000218,Q000019,U00168,P00046,2,0,0,0,0,3,2026-03-15T02:16:47+10:00,train
I00000219,Q000019,U00168,P00013,3,1,1,0,60.8,3,2026-03-15T02:16:42+10:00,train
I00000220,Q000019,U00168,P00106,4,1,1,0,64.4,3,2026-03-15T02:16:57+10:00,train
I00000221,Q000019,U00168,P00092,5,0,0,0,0,2,2026-03-15T02:17:24+10:00,train
I00000222,Q000019,U00168,P00072,6,0,0,0,0,1,2026-03-15T02:16:56+10:00,train
I00000223,Q000019,U00168,P00068,7,0,0,0,0,3,2026-03-15T02:17:10+10:00,train
I00000224,Q000019,U00168,P00024,8,0,0,0,0,2,2026-03-15T02:17:42+10:00,train
I00000225,Q000019,U00168,P00038,9,1,1,1,64.4,3,2026-03-15T02:17:21+10:00,train
I00000226,Q000019,U00168,P00083,10,1,1,1,60.1,3,2026-03-15T02:17:41+10:00,train
I00000227,Q000019,U00168,P00063,11,1,0,0,30.7,2,2026-03-15T02:17:48+10:00,train
I00000228,Q000019,U00168,P00049,12,0,0,0,0,1,2026-03-15T02:18:14+10:00,train
I00000229,Q000020,U00246,P00101,1,1,0,0,16.3,1,2026-03-15T02:54:17+10:00,train
I00000230,Q000020,U00246,P00075,2,1,0,0,60.7,3,2026-03-15T02:54:35+10:00,train
I00000231,Q000020,U00246,P00001,3,1,1,0,64.4,3,2026-03-15T02:54:23+10:00,train
I00000232,Q000020,U00246,P00016,4,1,0,0,18.3,1,2026-03-15T02:54:33+10:00,train
I00000233,Q000020,U00246,P00088,5,1,0,0,56.5,3,2026-03-15T02:54:43+10:00,train
I00000234,Q000020,U00246,P00038,6,1,0,0,61.0,3,2026-03-15T02:55:25+10:00,train
I00000235,Q000020,U00246,P00022,7,1,0,0,58.7,3,2026-03-15T02:55:03+10:00,train
I00000236,Q000020,U00246,P00047,8,1,0,0,32.5,1,2026-03-15T02:55:07+10:00,train
I00000237,Q000020,U00246,P00064,9,1,1,0,58.1,3,2026-03-15T02:55:38+10:00,train
I00000238,Q000020,U00246,P00067,10,0,0,0,0,1,2026-03-15T02:55:59+10:00,train
I00000239,Q000020,U00246,P00112,11,1,1,0,57.5,2,2026-03-15T02:55:21+10:00,train
I00000240,Q000020,U00246,P00094,12,1,0,0,25.2,1,2026-03-15T02:56:12+10:00,train
I00000241,Q000021,U01789,P00208,1,1,1,0,71.4,3,2026-03-15T03:25:45+10:00,train
I00000242,Q000021,U01789,P00124,2,0,0,0,0,1,2026-03-15T03:25:38+10:00,train
I00000243,Q000021,U01789,P00174,3,1,0,0,68.2,3,2026-03-15T03:25:54+10:00,train
I00000244,Q000021,U01789,P00179,4,1,0,0,51.3,2,2026-03-15T03:25:47+10:00,train
I00000245,Q000021,U01789,P00184,5,1,0,0,59.1,3,2026-03-15T03:26:22+10:00,train
I00000246,Q000021,U01789,P00162,6,1,0,0,34.4,2,2026-03-15T03:26:16+10:00,train
I00000247,Q000021,U01789,P00152,7,1,0,0,33.5,1,2026-03-15T03:26:21+10:00,train
I00000248,Q000021,U01789,P00217,8,0,0,0,0,3,2026-03-15T03:26:19+10:00,train
I00000249,Q000021,U01789,P00211,9,0,0,0,0,2,2026-03-15T03:26:07+10:00,train
I00000250,Q000021,U01789,P00159,10,1,0,0,64.0,3,2026-03-15T03:26:39+10:00,train
I00000251,Q000021,U01789,P00216,11,0,0,0,0,2,2026-03-15T03:26:48+10:00,train
I00000252,Q000021,U01789,P00122,12,0,0,0,0,2,2026-03-15T03:26:50+10:00,train
I00000253,Q000022,U00656,P00377,1,1,1,0,59.7,3,2026-03-15T03:55:24+10:00,train
I00000254,Q000022,U00656,P00379,2,0,0,0,0,1,2026-03-15T03:56:03+10:00,train
I00000255,Q000022,U00656,P00462,3,0,0,0,0,1,2026-03-15T03:55:52+10:00,train
I00000256,Q000022,U00656,P00476,4,0,0,0,0,2,2026-03-15T03:56:01+10:00,train
I00000257,Q000022,U00656,P00395,5,0,0,0,0,1,2026-03-15T03:55:48+10:00,train
I00000258,Q000022,U00656,P00406,6,0,0,0,0,2,2026-03-15T03:56:22+10:00,train
I00000259,Q000022,U00656,P00386,7,0,0,0,0,1,2026-03-15T03:56:20+10:00,train
I00000260,Q000022,U00656,P00400,8,1,0,0,51.7,2,2026-03-15T03:56:23+10:00,train
I00000261,Q000022,U00656,P00433,9,0,0,0,0,2,2026-03-15T03:56:15+10:00,train
I00000262,Q000022,U00656,P00467,10,1,0,0,31.3,2,2026-03-15T03:56:23+10:00,train
I00000263,Q000022,U00656,P00453,11,1,0,0,59.8,3,2026-03-15T03:56:56+10:00,train
I00000264,Q000022,U00656,P00432,12,0,0,0,0,1,2026-03-15T03:56:43+10:00,train
I00000265,Q000023,U00705,P00095,1,1,0,0,44.3,2,2026-03-15T04:25:18+10:00,train
I00000266,Q000023,U00705,P00059,2,1,1,1,64.5,3,2026-03-15T04:25:54+10:00,train
I00000267,Q000023,U00705,P00028,3,1,0,0,56.7,3,2026-03-15T04:26:02+10:00,train
I00000268,Q000023,U00705,P00078,4,0,0,0,0,3,2026-03-15T04:26:17+10:00,train
I00000269,Q000023,U00705,P00016,5,1,1,0,76.3,3,2026-03-15T04:26:03+10:00,train
I00000270,Q000023,U00705,P00062,6,1,0,0,60.2,3,2026-03-15T04:25:44+10:00,train
I00000271,Q000023,U00705,P00072,7,1,1,0,29.1,2,2026-03-15T04:26:09+10:00,train
I00000272,Q000023,U00705,P00021,8,1,0,0,77.4,3,2026-03-15T04:26:27+10:00,train
I00000273,Q000023,U00705,P00050,9,1,0,0,41.1,1,2026-03-15T04:26:11+10:00,train
I00000274,Q000023,U00705,P00112,10,0,0,0,0,3,2026-03-15T04:26:51+10:00,train
I00000275,Q000023,U00705,P00009,11,1,1,1,49.8,2,2026-03-15T04:27:05+10:00,train
I00000276,Q000023,U00705,P00115,12,0,0,0,0,2,2026-03-15T04:26:39+10:00,train
I00000277,Q000024,U01214,P00449,1,1,0,0,35.8,2,2026-03-15T04:51:47+10:00,train
