user_id,age_group,city_tier,price_sensitivity,preferred_brand,preferred_category,primary_use_case,created_at
U00041,35-44,二线,0.4604,星云,平板电脑,学习办公,2024-11-30T09:00:00+10:00
U00042,25-34,三线及以下,0.6791,玄甲,头戴耳机,内容创作,2024-06-27T09:00:00+10:00
U00043,25-34,二线,0.7544,云驰,键鼠套装,轻度游戏,2025-10-19T09:00:00+10:00
U00044,25-34,新一线,0.603,极昼,键鼠套装,内容创作,2024-08-23T09:00:00+10:00
U00045,45+,二线,0.176,岚川,显示器,编程开发,2025-01-23T09:00:00+10:00
U00046,18-24,新一线,0.4067,澄光,头戴耳机,差旅通勤,2024-06-14T09:00:00+10:00
U00047,18-24,三线及以下,0.3439,云驰,显示器,编程开发,2026-03-18T09:00:00+10:00
U00048,18-24,二线,0.2655,云驰,平板电脑,学习办公,2024-03-21T09:00:00+10:00
U00049,18-24,一线,0.5519,岚川,平板电脑,学习办公,2024-05-11T09:00:00+10:00
U00050,35-44,一线,0.447,澄光,键鼠套装,轻度游戏,2024-06-02T09:00:00+10:00
U00051,25-34,新一线,0.2979,矩阵,显示器,学习办公,2026-04-28T09:00:00+10:00
U00052,35-44,新一线,0.2706,澄光,笔记本电脑,编程开发,2024-10-26T09:00:00+10:00
U00053,25-34,一线,0.2025,澄光,笔记本电脑,影音娱乐,2026-03-25T09:00:00+10:00
U00054,25-34,二线,0.5458,云驰,显示器,轻度游戏,2025-05-12T09:00:00+10:00
U00055,25-34,一线,0.5362,玄甲,笔记本电脑,学习办公,2024-05-14T09:00:00+10:00
U00056,45+,三线及以下,0.4437,玄甲,键鼠套装,内容创作,2025-03-04T09:00:00+10:00
U00057,25-34,一线,0.3281,森屿,头戴耳机,内容创作,2024-04-10T09:00:00+10:00
U00058,35-44,一线,0.3927,玄甲,笔记本电脑,编程开发,2026-06-30T09:00:00+10:00
U00059,25-34,一线,0.2645,玄甲,头戴耳机,差旅通勤,2024-11-25T09:00:00+10:00
U00060,25-34,一线,0.33,矩阵,笔记本电脑,影音娱乐,2025-04-03T09:00:00+10:00
U00061,35-44,二线,0.6354,星云,平板电脑,影音娱乐,2026-05-07T09:00:00+10:00
U00062,18-24,新一线,0.2341,星云,笔记本电脑,内容创作,2024-08-01T09:00:00+10:00
U00063,35-44,新一线,0.9183,玄甲,键鼠套装,影音娱乐,2026-05-21T09:00:00+10:00
U00064,35-44,新一线,0.4579,星云,笔记本电脑,编程开发,2025-08-08T09:00:00+10:00
U00065,18-24,新一线,0.6091,澄光,键鼠套装,轻度游戏,2025-05-27T09:00:00+10:00
U00066,25-34,二线,0.5012,玄甲,显示器,学习办公,2025-05-31T09:00:00+10:00
U00067,18-24,新一线,0.3276,玄甲,头戴耳机,影音娱乐,2024-12-03T09:00:00+10:00
U00068,25-34,二线,0.2183,森屿,头戴耳机,影音娱乐,2025-12-29T09:00:00+10:00
U00069,25-34,新一线,0.1182,极昼,显示器,差旅通勤,2024-03-27T09:00:00+10:00
U00070,18-24,新一线,0.3821,矩阵,头戴耳机,轻度游戏,2024-05-18T09:00:00+10:00
U00071,25-34,新一线,0.4171,澄光,智能手机,编程开发,2026-02-07T09:00:00+10:00
U00072,25-34,二线,0.3207,星云,键鼠套装,影音娱乐,2024-08-12T09:00:00+10:00
U00073,18-24,二线,0.6552,森屿,笔记本电脑,轻度游戏,2024-03-17T09:00:00+10:00
U00074,35-44,新一线,0.473,森屿,平板电脑,编程开发,2025-05-05T09:00:00+10:00
U00075,18-24,二线,0.4473,澄光,智能手机,差旅通勤,2024-06-22T09:00:00+10:00
U00076,18-24,三线及以下,0.53,星云,头戴耳机,编程开发,2025-08-31T09:00:00+10:00
U00077,18-24,二线,0.6049,玄甲,平板电脑,影音娱乐,2024-04-14T09:00:00+10:00
U00078,18-24,一线,0.6775,星云,头戴耳机,轻度游戏,2026-06-28T09:00:00+10:00
U00079,35-44,一线,0.8505,极昼,键鼠套装,学习办公,2026-01-13T09:00:00+10:00
U00080,25-34,新一线,0.6669,玄甲,显示器,轻度游戏,2025-09-21T09:00:00+10:00
U00081,18-24,二线,0.7154,岚川,显示器,轻度游戏,2025-03-09T09:00:00+10:00
U00082,18-24,一线,0.6094,森屿,键鼠套装,内容创作,2024-05-15T09:00:00+10:00
U00083,25-34,三线及以下,0.3396,岚川,智能手机,编程开发,2026-05-27T09:00:00+10:00
U00084,25-34,二线,0.2763,岚川,平板电脑,轻度游戏,2025-06-25T09:00:00+10:00
U00085,25-34,一线,0.1965,澄光,智能手机,编程开发,2025-12-11T09:00:00+10:00
U00086,35-44,一线,0.3322,玄甲,头戴耳机,学习办公,2025-12-14T09:00:00+10:00
U00087,35-44,二线,0.6985,玄甲,笔记本电脑,编程开发,2026-07-06T09:00:00+10:00
U00088,18-24,二线,0.4028,星云,平板电脑,轻度游戏,2025-08-13T09:00:00+10:00
U00089,25-34,二线,0.752,矩阵,智能手机,差旅通勤,2025-04-08T09:00:00+10:00
U00090,25-34,新一线,0.5788,岚川,智能手机,轻度游戏,2025-05-30T09:00:00+10:00
U00091,45+,二线,0.4611,云驰,平板电脑,学习办公,2025-11-30T09:00:00+10:00
U00092,25-34,二线,0.1413,玄甲,头戴耳机,影音娱乐,2025-01-07T09:00:00+10:00
U00093,45+,二线,0.2523,矩阵,智能手机,差旅通勤,2025-05-05T09:00:00+10:00
U00094,25-34,三线及以下,0.7647,玄甲,平板电脑,编程开发,2024-12-07T09:00:00+10:00
U00095,18-24,一线,0.3823,极昼,平板电脑,轻度游戏,2025-07-23T09:00:00+10:00
U00096,35-44,新一线,0.8685,玄甲,智能手机,学习办公,2025-09-17T09:00:00+10:00
U00097,45+,新一线,0.6975,矩阵,平板电脑,编程开发,2025-05-28T09:00:00+10:00
U00098,45+,一线,0.683,矩阵,平板电脑,差旅通勤,2025-04-09T09:00:00+10:00
U00099,35-44,一线,0.5781,极昼,平板电脑,差旅通勤,2024-04-11T09:00:00+10:00
U00100,25-34,二线,0.4216,极昼,显示器,影音娱乐,2024-11-02T09:00:00+10:00
U00101,18-24,三线及以下,0.4327,澄光,智能手机,编程开发,2026-04-21T09:00:00+10:00
U00102,25-34,一线,0.6326,岚川,智能手机,学习办公,2025-05-23T09:00:00+10:00
U00103,35-44,一线,0.6075,玄甲,显示器,学习办公,2026-02-16T09:00:00+10:00
U00104,18-24,一线,0.4924,森屿,智能手机,编程开发,2024-03-20T09:00:00+10:00
U00105,35-44,新一线,0.3341,云驰,笔记本电脑,内容创作,2025-03-30T09:00:00+10:00
U00106,25-34,三线及以下,0.4539,云驰,平板电脑,编程开发,2024-12-28T09:00:00+10:00
U00107,18-24,新一线,0.4449,云驰,笔记本电脑,影音娱乐,2025-08-07T09:00:00+10:00
U00108,18-24,新一线,0.275,云驰,笔记本电脑,差旅通勤,2025-01-02T09:00:00+10:00
U00109,18-24,一线,0.7914,星云,显示器,影音娱乐,2024-04-13T09:00:00+10:00
U00110,35-44,二线,0.5901,矩阵,头戴耳机,编程开发,2025-04-19T09:00:00+10:00
U00111,18-24,一线,0.3611,澄光,头戴耳机,轻度游戏,2025-08-16T09:00:00+10:00
U00112,45+,二线,0.3409,森屿,平板电脑,编程开发,2024-03-13T09:00:00+10:00
U00113,25-34,一线,0.5368,极昼,智能手机,差旅通勤,2025-01-06T09:00:00+10:00
U00114,18-24,一线,0.4933,澄光,头戴耳机,差旅通勤,2026-06-24T09:00:00+10:00
U00115,35-44,二线,0.7611,玄甲,智能手机,差旅通勤,2024-09-05T09:00:00+10:00
U00116,18-24,三线及以下,0.5681,云驰,头戴耳机,编程开发,2025-01-03T09:00:00+10:00
U00117,45+,二线,0.256,极昼,平板电脑,内容创作,2025-05-25T09:00:00+10:00
U00118,18-24,二线,0.6799,云驰,笔记本电脑,轻度游戏,2024-05-07T09:00:00+10:00
U00119,45+,三线及以下,0.4213,星云,平板电脑,编程开发,2026-01-03T09:00:00+10:00
U00120,25-34,一线,0.3466,澄光,键鼠套装,学习办公,2026-02-15T09:00:00+10:00
U00121,25-34,三线及以下,0.8359,云驰,智能手机,学习办公,2026-07-09T09:00:00+10:00
U00122,18-24,一线,0.1783,澄光,笔记本电脑,影音娱乐,2026-06-21T09:00:00+10:00
U00123,25-34,二线,0.6135,矩阵,笔记本电脑,差旅通勤,2024-08-20T09:00:00+10:00
U00124,35-44,新一线,0.6052,云驰,笔记本电脑,内容创作,2026-01-17T09:00:00+10:00
U00125,25-34,三线及以下,0.8339,森屿,显示器,学习办公,2024-10-01T09:00:00+10:00
U00126,18-24,一线,0.4966,森屿,键鼠套装,内容创作,2025-08-12T09:00:00+10:00
U00127,18-24,二线,0.5482,极昼,笔记本电脑,轻度游戏,2025-07-06T09:00:00+10:00
U00128,45+,二线,0.674,矩阵,平板电脑,影音娱乐,2025-11-25T09:00:00+10:00
U00129,18-24,二线,0.2783,云驰,笔记本电脑,编程开发,2025-11-19T09:00:00+10:00
U00130,18-24,一线,0.2636,极昼,显示器,差旅通勤,2025-11-14T09:00:00+10:00
U00131,25-34,二线,0.1698,岚川,头戴耳机,内容创作,2024-09-27T09:00:00+10:00
U00132,18-24,新一线,0.6623,岚川,显示器,轻度游戏,2026-05-12T09:00:00+10:00
U00133,18-24,新一线,0.5091,岚川,头戴耳机,差旅通勤,2026-06-17T09:00:00+10:00
U00134,25-34,新一线,0.6748,星云,智能手机,编程开发,2024-10-06T09:00:00+10:00
U00135,18-24,新一线,0.8064,玄甲,笔记本电脑,学习办公,2024-04-12T09:00:00+10:00
U00136,35-44,三线及以下,0.4796,澄光,平板电脑,学习办公,2026-03-09T09:00:00+10:00
U00137,18-24,一线,0.7135,澄光,平板电脑,编程开发,2024-07-25T09:00:00+10:00
U00138,18-24,三线及以下,0.269,矩阵,显示器,影音娱乐,2025-12-17T09:00:00+10:00
U00139,45+,一线,0.9906,澄光,键鼠套装,学习办公,2026-04-21T09:00:00+10:00
U00140,18-24,二线,0.2478,森屿,键鼠套装,编程开发,2024-03-16T09:00:00+10:00
U00141,25-34,新一线,0.485,云驰,显示器,编程开发,2024-08-20T09:00:00+10:00
U00142,25-34,新一线,0.1946,矩阵,笔记本电脑,编程开发,2025-10-24T09:00:00+10:00
U00143,25-34,新一线,0.3032,岚川,平板电脑,差旅通勤,2025-08-20T09:00:00+10:00
U00144,25-34,三线及以下,0.5031,森屿,显示器,内容创作,2025-05-13T09:00:00+10:00
U00145,25-34,一线,0.432,森屿,智能手机,学习办公,2025-01-11T09:00:00+10:00
U00146,25-34,二线,0.4588,岚川,键鼠套装,学习办公,2025-07-13T09:00:00+10:00
U00147,35-44,二线,0.4185,矩阵,笔记本电脑,差旅通勤,2026-03-26T09:00:00+10:00
U00148,18-24,三线及以下,0.3561,矩阵,键鼠套装,差旅通勤,2025-03-13T09:00:00+10:00
U00149,25-34,二线,0.8035,岚川,平板电脑,影音娱乐,2024-05-19T09:00:00+10:00
U00150,18-24,新一线,0.5362,矩阵,键鼠套装,内容创作,2026-03-05T09:00:00+10:00
U00151,25-34,一线,0.6712,极昼,头戴耳机,内容创作,2025-10-20T09:00:00+10:00
U00152,25-34,一线,0.6512,岚川,智能手机,学习办公,2026-02-21T09:00:00+10:00
U00153,35-44,二线,0.3068,云驰,平板电脑,差旅通勤,2024-07-15T09:00:00+10:00
U00154,18-24,二线,0.5779,岚川,平板电脑,学习办公,2024-03-17T09:00:00+10:00
U00155,25-34,新一线,0.1993,极昼,显示器,轻度游戏,2024-12-18T09:00:00+10:00
U00156,35-44,新一线,0.4076,森屿,头戴耳机,编程开发,2024-06-23T09:00:00+10:00
U00157,18-24,一线,0.5835,玄甲,头戴耳机,编程开发,2026-02-22T09:00:00+10:00
U00158,35-44,一线,0.2605,星云,平板电脑,内容创作,2024-08-20T09:00:00+10:00
U00159,35-44,新一线,0.3885,矩阵,键鼠套装,编程开发,2026-07-27T09:00:00+10:00
U00160,18-24,新一线,0.2313,云驰,笔记本电脑,影音娱乐,2024-07-11T09:00:00+10:00
U00161,45+,一线,0.0663,森屿,头戴耳机,编程开发,2026-01-30T09:00:00+10:00
U00162,25-34,二线,0.8381,岚川,智能手机,内容创作,2025-11-20T09:00:00+10:00
U00163,35-44,三线及以下,0.1338,极昼,键鼠套装,内容创作,2025-01-20T09:00:00+10:00
U00164,18-24,新一线,0.4076,云驰,平板电脑,轻度游戏,2026-05-08T09:00:00+10:00
U00165,25-34,一线,0.3329,极昼,智能手机,学习办公,2025-02-28T09:00:00+10:00
U00166,25-34,二线,0.8597,岚川,笔记本电脑,编程开发,2024-07-04T09:00:00+10:00
U00167,25-34,二线,0.7254,玄甲,平板电脑,编程开发,2026-07-13T09:00:00+10:00
U00168,25-34,二线,0.7198,极昼,笔记本电脑,影音娱乐,2024-06-21T09:00:00+10:00
U00169,25-34,新一线,0.3677,森屿,键鼠套装,内容创作,2025-10-22T09:00:00+10:00
U00170,18-24,新一线,0.3816,岚川,键鼠套装,差旅通勤,2026-03-29T09:00:00+10:00
U00171,25-34,一线,0.3276,星云,平板电脑,学习办公,2026-07-12T09:00:00+10:00
U00172,35-44,一线,0.6005,极昼,智能手机,轻度游戏,2025-11-08T09:00:00+10:00
U00173,18-24,二线,0.5102,森屿,智能手机,内容创作,2026-03-15T09:00:00+10:00
U00174,25-34,一线,0.8779,玄甲,笔记本电脑,编程开发,2024-05-01T09:00:00+10:00
U00175,35-44,新一线,0.5787,星云,显示器,学习办公,2024-11-18T09:00:00+10:00
U00176,18-24,一线,0.6052,澄光,键鼠套装,内容创作,2025-06-30T09:00:00+10:00
U00177,25-34,新一线,0.4923,玄甲,显示器,编程开发,2024-10-05T09:00:00+10:00
U00178,25-34,二线,0.9207,极昼,智能手机,轻度游戏,2024-03-15T09:00:00+10:00
U00179,25-34,二线,0.6916,星云,头戴耳机,学习办公,2024-07-08T09:00:00+10:00
U00180,45+,三线及以下,0.3747,澄光,平板电脑,编程开发,2024-07-23T09:00:00+10:00
U00181,25-34,一线,0.3276,岚川,头戴耳机,影音娱乐,2026-06-23T09:00:00+10:00
U00182,25-34,三线及以下,0.5781,玄甲,键鼠套装,差旅通勤,2024-07-28T09:00:00+10:00
U00183,45+,一线,0.7922,玄甲,智能手机,影音娱乐,2026-06-03T09:00:00+10:00
U00184,35-44,三线及以下,0.7818,森屿,平板电脑,学习办公,2025-12-03T09:00:00+10:00
U00185,35-44,二线,0.4424,玄甲,显示器,差旅通勤,2024-07-13T09:00:00+10:00
U00186,25-34,一线,0.637,云驰,笔记本电脑,编程开发,2025-08-02T09:00:00+10:00
U00187,35-44,新一线,0.8059,玄甲,头戴耳机,编程开发,2024-08-09T09:00:00+10:00
U00188,35-44,一线,0.4846,矩阵,智能手机,影音娱乐,2026-05-12T09:00:00+10:00
U00189,25-34,三线及以下,0.0849,澄光,显示器,差旅通勤,2026-04-17T09:00:00+10:00
U00190,25-34,二线,0.2334,岚川,智能手机,轻度游戏,2025-08-28T09:00:00+10:00
U00191,25-34,一线,0.7326,云驰,笔记本电脑,轻度游戏,2025-09-05T09:00:00+10:00
U00192,35-44,新一线,0.6608,玄甲,显示器,差旅通勤,2025-07-01T09:00:00+10:00
U00193,45+,三线及以下,0.2843,矩阵,智能手机,内容创作,2026-07-21T09:00:00+10:00
U00194,25-34,新一线,0.2369,森屿,智能手机,编程开发,2025-09-04T09:00:00+10:00
U00195,35-44,二线,0.958,澄光,显示器,差旅通勤,2024-05-08T09:00:00+10:00
U00196,35-44,新一线,0.4014,极昼,键鼠套装,轻度游戏,2024-10-25T09:00:00+10:00
U00197,18-24,二线,0.647,岚川,笔记本电脑,学习办公,2025-05-18T09:00:00+10:00
U00198,25-34,一线,0.7244,矩阵,笔记本电脑,差旅通勤,2026-03-26T09:00:00+10:00
U00199,18-24,三线及以下,0.0918,极昼,笔记本电脑,影音娱乐,2025-08-08T09:00:00+10:00
U00200,18-24,新一线,0.6326,极昼,笔记本电脑,影音娱乐,2025-06-17T09:00:00+10:00
U00201,25-34,新一线,0.9686,澄光,头戴耳机,学习办公,2026-06-10T09:00:00+10:00
U00202,18-24,二线,0.4431,云驰,智能手机,编程开发,2024-06-04T09:00:00+10:00
U00203,25-34,二线,0.4389,森屿,头戴耳机,编程开发,2025-05-10T09:00:00+10:00
U00204,25-34,一线,0.4809,玄甲,智能手机,内容创作,2026-02-19T09:00:00+10:00
U00205,35-44,二线,0.3885,云驰,平板电脑,轻度游戏,2025-09-21T09:00:00+10:00
U00206,25-34,一线,0.4644,矩阵,头戴耳机,编程开发,2025-09-24T09:00:00+10:00
U00207,35-44,新一线,0.2624,澄光,头戴耳机,学习办公,2025-09-28T09:00:00+10:00
U00208,35-44,一线,0.4648,矩阵,显示器,差旅通勤,2025-04-12T09:00:00+10:00
U00209,18-24,新一线,0.5837,矩阵,智能手机,差旅通勤,2024-12-02T09:00:00+10:00
U00210,45+,新一线,0.3127,星云,智能手机,内容创作,2024-08-24T09:00:00+10:00
U00211,45+,三线及以下,0.7238,矩阵,平板电脑,内容创作,2024-04-16T09:00:00+10:00
U00212,25-34,二线,0.4737,森屿,显示器,轻度游戏,2024-09-30T09:00:00+10:00
U00213,25-34,二线,0.691,极昼,显示器,内容创作,2025-01-28T09:00:00+10:00
U00214,35-44,新一线,0.7524,云驰,智能手机,学习办公,2025-08-01T09:00:00+10:00
U00215,18-24,二线,0.2946,澄光,笔记本电脑,内容创作,2025-05-25T09:00:00+10:00
U00216,25-34,新一线,0.151,森屿,平板电脑,轻度游戏,2025-06-03T09:00:00+10:00
U00217,18-24,新一线,0.5205,岚川,笔记本电脑,影音娱乐,2026-01-09T09:00:00+10:00
U00218,45+,三线及以下,0.6159,云驰,笔记本电脑,影音娱乐,2025-02-17T09:00:00+10:00
U00219,45+,新一线,0.8591,森屿,显示器,影音娱乐,2024-10-09T09:00:00+10:00
U00220,25-34,二线,0.7012,玄甲,笔记本电脑,编程开发,2024-12-29T09:00:00+10:00
U00221,18-24,一线,0.5081,澄光,显示器,编程开发,2024-09-23T09:00:00+10:00
U00222,35-44,二线,0.3268,玄甲,键鼠套装,影音娱乐,2025-12-29T09:00:00+10:00
U00223,35-44,一线,0.1657,岚川,智能手机,内容创作,2024-11-28T09:00:00+10:00
U00224,45+,新一线,0.3902,星云,笔记本电脑,内容创作,2026-03-31T09:00:00+10:00
U00225,25-34,三线及以下,0.7763,澄光,显示器,内容创作,2025-12-23T09:00:00+10:00
U00226,25-34,新一线,0.6665,玄甲,智能手机,学习办公,2024-07-25T09:00:00+10:00
U00227,18-24,一线,0.4992,极昼,智能手机,差旅通勤,2026-04-21T09:00:00+10:00
U00228,25-34,三线及以下,0.3641,澄光,笔记本电脑,学习办公,2026-03-20T09:00:00+10:00
U00229,25-34,新一线,0.3602,岚川,键鼠套装,轻度游戏,2025-07-01T09:00:00+10:00
U00230,25-34,一线,0.2288,岚川,头戴耳机,影音娱乐,2024-10-27T09:00:00+10:00
U00231,35-44,二线,0.4272,云驰,显示器,编程开发,2025-02-24T09:00:00+10:00
U00232,25-34,二线,0.2167,极昼,平板电脑,内容创作,2026-03-23T09:00:00+10:00
U00233,18-24,一线,0.8183,矩阵,笔记本电脑,差旅通勤,2026-07-09T09:00:00+10:00
U00234,25-34,新一线,0.5182,澄光,智能手机,编程开发,2025-03-29T09:00:00+10:00
U00235,25-34,新一线,0.1848,森屿,头戴耳机,学习办公,2024-12-30T09:00:00+10:00
U00236,18-24,一线,0.4872,森屿,显示器,内容创作,2026-02-24T09:00:00+10:00
U00237,45+,新一线,0.3345,云驰,平板电脑,影音娱乐,2026-05-04T09:00:00+10:00
U00238,25-34,新一线,0.3357,岚川,智能手机,轻度游戏,2025-01-08T09:00:00+10:00
U00239,25-34,三线及以下,0.9006,玄甲,显示器,影音娱乐,2026-02-15T09:00:00+10:00
U00240,45+,新一线,0.5695,极昼,笔记本电脑,编程开发,2025-02-09T09:00:00+10:00
U00241,35-44,三线及以下,0.2344,澄光,平板电脑,学习办公,2025-01-12T09:00:00+10:00
U00242,45+,新一线,0.8926,玄甲,头戴耳机,编程开发,2025-10-14T09:00:00+10:00
U00243,18-24,二线,0.6435,云驰,头戴耳机,影音娱乐,2024-06-12T09:00:00+10:00
U00244,25-34,二线,0.5341,岚川,键鼠套装,学习办公,2026-06-29T09:00:00+10:00
U00245,25-34,二线,0.6893,森屿,笔记本电脑,影音娱乐,2026-01-30T09:00:00+10:00
U00246,35-44,三线及以下,0.7213,星云,智能手机,影音娱乐,2024-07-23T09:00:00+10:00
U00247,25-34,一线,0.48,极昼,笔记本电脑,编程开发,2024-05-29T09:00:00+10:00
U00248,18-24,新一线,0.9656,岚川,笔记本电脑,编程开发,2024-10-01T09:00:00+10:00
U00249,25-34,一线,0.6266,极昼,笔记本电脑,差旅通勤,2024-07-30T09:00:00+10:00
U00250,35-44,一线,0.5837,森屿,智能手机,轻度游戏,2026-03-27T09:00:00+10:00
U00251,18-24,一线,0.4041,极昼,笔记本电脑,轻度游戏,2024-05-19T09:00:00+10:00
U00252,18-24,新一线,0.9567,岚川,平板电脑,内容创作,2025-02-15T09:00:00+10:00
U00253,18-24,新一线,0.7535,澄光,头戴耳机,轻度游戏,2026-03-05T09:00:00+10:00
U00254,18-24,新一线,0.7213,矩阵,显示器,差旅通勤,2024-07-19T09:00:00+10:00
U00255,18-24,新一线,0.8729,云驰,键鼠套装,内容创作,2025-06-01T09:00:00+10:00
U00256,35-44,二线,0.8373,森屿,显示器,影音娱乐,2026-07-21T09:00:00+10:00
U00257,18-24,一线,0.4742,极昼,平板电脑,轻度游戏,2024-09-03T09:00:00+10:00
U00258,18-24,新一线,0.6951,云驰,平板电脑,影音娱乐,2025-03-18T09:00:00+10:00
U00259,25-34,二线,0.5578,玄甲,平板电脑,差旅通勤,2024-07-19T09:00:00+10:00
U00260,18-24,一线,0.6224,云驰,笔记本电脑,轻度游戏,2025-11-03T09:00:00+10:00
U00261,35-44,二线,0.334,极昼,键鼠套装,轻度游戏,2026-04-14T09:00:00+10:00
U00262,45+,新一线,0.308,岚川,笔记本电脑,内容创作,2024-08-30T09:00:00+10:00
U00263,45+,二线,0.4668,矩阵,头戴耳机,影音娱乐,2026-06-27T09:00:00+10:00
U00264,25-34,二线,0.3914,星云,头戴耳机,学习办公,2025-05-06T09:00:00+10:00
U00265,18-24,三线及以下,0.8152,玄甲,平板电脑,轻度游戏,2024-10-11T09:00:00+10:00
U00266,25-34,二线,0.4887,云驰,显示器,内容创作,2025-12-05T09:00:00+10:00
U00267,18-24,一线,0.7036,矩阵,平板电脑,编程开发,2026-07-17T09:00:00+10:00
U00268,35-44,新一线,0.4848,玄甲,笔记本电脑,差旅通勤,2025-05-02T09:00:00+10:00
U00269,18-24,新一线,0.2232,极昼,头戴耳机,差旅通勤,2024-04-22T09:00:00+10:00
U00270,35-44,三线及以下,0.2705,极昼,智能手机,影音娱乐,2025-04-22T09:00:00+10:00
U00271,25-34,三线及以下,0.3763,星云,智能手机,内容创作,2026-02-17T09:00:00+10:00
U00272,18-24,三线及以下,0.5495,岚川,键鼠套装,轻度游戏,2025-07-15T09:00:00+10:00
U00273,25-34,新一线,0.1545,澄光,笔记本电脑,轻度游戏,2024-08-06T09:00:00+10:00
U00274,25-34,三线及以下,0.7686,森屿,平板电脑,内容创作,2024-04-29T09:00:00+10:00
U00275,25-34,一线,0.8098,森屿,笔记本电脑,内容创作,2026-05-09T09:00:00+10:00
U00276,18-24,三线及以下,0.7242,森屿,笔记本电脑,内容创作,2026-03-17T09:00:00+10:00
U00277,25-34,一线,0.3252,矩阵,平板电脑,影音娱乐,2025-10-25T09:00:00+10:00
U00278,18-24,二线,0.3201,玄甲,头戴耳机,影音娱乐,2024-11-15T09:00:00+10:00
U00279,45+,二线,0.1767,极昼,平板电脑,编程开发,2025-02-14T09:00:00+10:00
