product_id,category,brand,name,price,original_price,rating,review_count,sales_count,stock,performance,battery,portability,display,camera,audio,gaming,office,connectivity,quality,sustainability,release_days,description,highlights,limitations
P00022,笔记本电脑,星云,星云 One 31,8099,8699,4.3,90,610,441,0.5351,0.7504,0.8156,0.9868,0.4988,0.6067,0.8165,0.4329,0.3842,0.6349,0.4944,792,面向影音娱乐场景的笔记本电脑，主打屏幕素质好、游戏体验稳定、轻便易携带。,屏幕素质好、游戏体验稳定、轻便易携带,若特别在意办公效率高，建议对比同价位其他型号。
P00023,笔记本电脑,矩阵,矩阵 Go 32,11899,13799,4.8,920,5676,644,0.8709,0.8596,0.6735,0.9513,0.5561,0.784,0.8497,0.9013,0.7061,1.0,0.7455,502,面向编程开发场景的笔记本电脑，主打屏幕素质好、办公效率高、性能流畅。,屏幕素质好、办公效率高、性能流畅,若特别在意轻便易携带，建议对比同价位其他型号。
P00024,笔记本电脑,矩阵,矩阵 Studio 33,7599,8499,4.4,272,1860,44,0.5646,0.6209,0.5187,0.6437,0.4549,0.4836,0.6824,0.7552,0.7153,0.764,0.5623,303,面向差旅通勤场景的笔记本电脑，主打办公效率高、游戏体验稳定、屏幕素质好。,办公效率高、游戏体验稳定、屏幕素质好,若特别在意轻便易携带，建议对比同价位其他型号。
P00025,笔记本电脑,森屿,森屿 Air 34,4599,5299,4.0,123,2763,1044,0.2538,0.3753,0.434,0.4593,0.1254,0.1808,0.3838,0.5822,0.2924,0.3179,0.1508,268,面向轻度游戏场景的笔记本电脑，主打办公效率高、屏幕素质好、轻便易携带。,办公效率高、屏幕素质好、轻便易携带,若特别在意性能流畅，建议对比同价位其他型号。
P00026,笔记本电脑,岚川,岚川 Pro 35,7099,7699,3.8,308,2534,1800,0.7067,0.3472,0.6505,0.5442,0.6076,0.4557,0.6918,0.506,0.4236,0.3529,0.7245,832,面向内容创作场景的笔记本电脑，主打性能流畅、游戏体验稳定、轻便易携带。,性能流畅、游戏体验稳定、轻便易携带,若特别在意续航持久，建议对比同价位其他型号。
P00027,笔记本电脑,星云,星云 Max 36,6799,7099,4.2,368,3162,1781,0.673,0.675,0.5194,0.493,0.5337,0.6862,0.6121,0.5093,0.3223,0.3696,0.8087,626,面向编程开发场景的笔记本电脑，主打续航持久、性能流畅、游戏体验稳定。,续航持久、性能流畅、游戏体验稳定,若特别在意屏幕素质好，建议对比同价位其他型号。
P00028,笔记本电脑,岚川,岚川 Neo 37,8699,9499,4.5,64,743,538,0.6957,0.8494,0.7472,0.7154,0.5986,0.4498,0.4267,0.5679,0.1044,0.5791,0.3946,153,面向差旅通勤场景的笔记本电脑，主打续航持久、轻便易携带、屏幕素质好。,续航持久、轻便易携带、屏幕素质好,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00029,笔记本电脑,极昼,极昼 S 38,6399,7399,4.2,241,3021,606,0.4453,0.7765,0.3868,0.7701,0.5906,0.4866,0.3615,0.6532,0.2557,0.3884,0.2698,736,面向内容创作场景的笔记本电脑，主打续航持久、屏幕素质好、办公效率高。,续航持久、屏幕素质好、办公效率高,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00030,笔记本电脑,澄光,澄光 One 39,5899,6099,4.4,176,1533,706,0.3867,0.7667,0.3334,0.5992,0.3098,0.5656,0.4933,0.5721,0.4987,0.4686,0.479,20,面向编程开发场景的笔记本电脑，主打续航持久、屏幕素质好、办公效率高。,续航持久、屏幕素质好、办公效率高,若特别在意轻便易携带，建议对比同价位其他型号。
P00031,笔记本电脑,矩阵,矩阵 Go 40,3599,3999,3.8,16,254,1794,0.5271,0.7137,0.1348,0.4414,0.0166,0.0,0.0908,0.7018,0.1335,0.1108,0.3345,880,面向学习办公场景的笔记本电脑，主打续航持久、办公效率高、性能流畅。,续航持久、办公效率高、性能流畅,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00032,笔记本电脑,澄光,澄光 Studio 41,11099,12699,4.9,154,2865,1270,0.7892,0.7426,0.6899,0.72,0.7069,0.7905,0.7659,0.8103,0.4937,0.8549,0.7459,589,面向差旅通勤场景的笔记本电脑，主打办公效率高、性能流畅、游戏体验稳定。,办公效率高、性能流畅、游戏体验稳定,若特别在意轻便易携带，建议对比同价位其他型号。
P00033,笔记本电脑,澄光,澄光 Air 42,4099,4299,4.4,8,138,1659,0.4312,0.3112,0.3538,0.1548,0.4543,0.4104,0.2437,0.6193,0.2818,0.541,0.267,420,面向轻度游戏场景的笔记本电脑，主打办公效率高、性能流畅、轻便易携带。,办公效率高、性能流畅、轻便易携带,若特别在意屏幕素质好，建议对比同价位其他型号。
P00034,笔记本电脑,岚川,岚川 Pro 43,7499,8299,4.2,32,214,1443,0.6659,0.6755,0.5772,0.7408,0.4897,0.475,0.6378,0.5556,0.5259,0.4735,0.6476,599,面向差旅通勤场景的笔记本电脑，主打屏幕素质好、续航持久、性能流畅。,屏幕素质好、续航持久、性能流畅,若特别在意办公效率高，建议对比同价位其他型号。
P00035,笔记本电脑,玄甲,玄甲 Max 44,4499,5099,4.3,17,381,1155,0.4075,0.3916,0.4178,0.5693,0.2807,0.3504,0.4285,0.5501,0.2815,0.4023,0.2551,818,面向影音娱乐场景的笔记本电脑，主打屏幕素质好、办公效率高、游戏体验稳定。,屏幕素质好、办公效率高、游戏体验稳定,若特别在意续航持久，建议对比同价位其他型号。
P00036,笔记本电脑,玄甲,玄甲 Neo 45,7899,9099,4.0,8,148,36,0.6342,0.6731,0.3088,0.5021,0.5412,0.589,0.6078,0.6369,0.1909,0.519,0.468,356,面向内容创作场景的笔记本电脑，主打续航持久、办公效率高、性能流畅。,续航持久、办公效率高、性能流畅,若特别在意轻便易携带，建议对比同价位其他型号。
P00037,笔记本电脑,森屿,森屿 S 46,7299,8399,4.5,8,61,1779,0.8066,0.6956,0.6568,0.4429,0.6087,0.4956,0.4951,0.6546,0.7246,0.5539,0.7586,366,面向影音娱乐场景的笔记本电脑，主打性能流畅、续航持久、轻便易携带。,性能流畅、续航持久、轻便易携带,若特别在意屏幕素质好，建议对比同价位其他型号。
P00038,笔记本电脑,极昼,极昼 One 47,8599,8999,4.6,97,1186,294,1.0,0.6146,0.766,0.7767,0.5131,0.4135,0.6069,0.6149,0.6536,0.7449,0.5185,895,面向差旅通勤场景的笔记本电脑，主打性能流畅、屏幕素质好、轻便易携带。,性能流畅、屏幕素质好、轻便易携带,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00039,笔记本电脑,玄甲,玄甲 Go 48,9099,10199,4.4,81,1536,1414,0.72,0.5706,0.9159,0.6511,0.6828,0.5832,0.9254,0.678,0.7704,0.4099,0.3286,481,面向编程开发场景的笔记本电脑，主打游戏体验稳定、轻便易携带、性能流畅。,游戏体验稳定、轻便易携带、性能流畅,若特别在意续航持久，建议对比同价位其他型号。
P00040,笔记本电脑,森屿,森屿 Studio 49,8199,9699,4.5,8,81,704,0.7895,0.5132,0.4653,0.5576,0.5806,0.5882,0.5743,0.5518,0.612,0.5493,0.7921,132,面向轻度游戏场景的笔记本电脑，主打性能流畅、游戏体验稳定、屏幕素质好。,性能流畅、游戏体验稳定、屏幕素质好,若特别在意轻便易携带，建议对比同价位其他型号。
P00041,笔记本电脑,玄甲,玄甲 Air 50,6799,8099,4.3,220,1934,1444,0.688,0.7617,0.5563,0.6232,0.5112,0.4853,0.4217,0.6449,0.235,0.3974,0.2862,873,面向学习办公场景的笔记本电脑，主打续航持久、性能流畅、办公效率高。,续航持久、性能流畅、办公效率高,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00042,笔记本电脑,云驰,云驰 Pro 51,5799,6799,4.4,16,137,340,0.546,0.7407,0.3038,0.6159,0.5822,0.3947,0.4948,0.6317,0.3106,0.5609,0.1995,537,面向差旅通勤场景的笔记本电脑，主打续航持久、办公效率高、屏幕素质好。,续航持久、办公效率高、屏幕素质好,若特别在意轻便易携带，建议对比同价位其他型号。
P00043,笔记本电脑,玄甲,玄甲 Max 52,7599,8799,4.4,21,250,1441,0.5771,0.467,0.3612,0.3005,0.3917,0.2794,0.4098,0.735,0.5786,0.6211,0.5417,155,面向编程开发场景的笔记本电脑，主打办公效率高、性能流畅、续航持久。,办公效率高、性能流畅、续航持久,若特别在意屏幕素质好，建议对比同价位其他型号。
P00044,笔记本电脑,澄光,澄光 Neo 53,4899,5499,4.1,227,3056,256,0.1758,0.4257,0.3352,0.546,0.4405,0.3033,0.3445,0.5045,0.0773,0.4462,0.3809,270,面向学习办公场景的笔记本电脑，主打屏幕素质好、办公效率高、续航持久。,屏幕素质好、办公效率高、续航持久,若特别在意性能流畅，建议对比同价位其他型号。
P00045,笔记本电脑,极昼,极昼 S 54,8799,9399,4.1,8,95,1482,0.6571,0.9429,0.5798,0.6276,0.5019,0.4172,0.5819,0.7615,0.4696,0.5255,0.7729,505,面向轻度游戏场景的笔记本电脑，主打续航持久、办公效率高、性能流畅。,续航持久、办公效率高、性能流畅,若特别在意轻便易携带，建议对比同价位其他型号。
P00046,笔记本电脑,矩阵,矩阵 One 55,9399,10699,4.7,310,3452,1719,0.7455,0.8005,0.7408,0.6772,0.8383,0.7579,0.8667,0.8104,0.5273,0.8447,0.7575,804,面向编程开发场景的笔记本电脑，主打游戏体验稳定、办公效率高、续航持久。,游戏体验稳定、办公效率高、续航持久,若特别在意屏幕素质好，建议对比同价位其他型号。
P00047,笔记本电脑,云驰,云驰 Go 56,9599,10699,4.2,508,3667,274,0.8379,0.7206,0.8885,0.3458,0.575,0.5386,0.6537,0.7273,0.8506,0.5835,0.6952,754,面向差旅通勤场景的笔记本电脑，主打轻便易携带、性能流畅、办公效率高。,轻便易携带、性能流畅、办公效率高,若特别在意屏幕素质好，建议对比同价位其他型号。
P00048,笔记本电脑,星云,星云 Studio 57,6099,6999,4.2,243,4095,20,0.3285,0.7502,0.4526,0.3051,0.2935,0.3277,0.6116,0.515,0.4288,0.3519,0.4812,102,面向轻度游戏场景的笔记本电脑，主打续航持久、游戏体验稳定、办公效率高。,续航持久、游戏体验稳定、办公效率高,若特别在意屏幕素质好，建议对比同价位其他型号。
P00049,笔记本电脑,澄光,澄光 Air 58,5099,5599,3.9,8,82,1733,0.3522,0.4795,0.4557,0.3417,0.3929,0.1578,0.5215,0.2728,0.2755,0.167,0.1476,192,面向轻度游戏场景的笔记本电脑，主打游戏体验稳定、续航持久、轻便易携带。,游戏体验稳定、续航持久、轻便易携带,若特别在意办公效率高，建议对比同价位其他型号。
P00050,笔记本电脑,玄甲,玄甲 Pro 59,4399,4799,4.4,230,1369,453,0.5892,0.2529,0.3146,0.3694,0.2259,0.417,0.6115,0.4268,0.2948,0.4804,0.5173,396,面向差旅通勤场景的笔记本电脑，主打游戏体验稳定、性能流畅、办公效率高。,游戏体验稳定、性能流畅、办公效率高,若特别在意续航持久，建议对比同价位其他型号。
P00051,笔记本电脑,岚川,岚川 Max 60,7399,8499,4.0,183,3834,1473,0.4467,0.6433,0.6215,0.5937,0.5205,0.622,0.6565,0.5445,0.3805,0.3677,0.4909,247,面向差旅通勤场景的笔记本电脑，主打游戏体验稳定、续航持久、轻便易携带。,游戏体验稳定、续航持久、轻便易携带,若特别在意性能流畅，建议对比同价位其他型号。
P00052,笔记本电脑,森屿,森屿 Neo 61,10699,12499,4.5,376,3064,1403,0.7297,0.6982,1.0,0.7294,0.8367,0.5584,0.8693,0.9325,0.8143,0.6381,0.7958,54,面向轻度游戏场景的笔记本电脑，主打轻便易携带、办公效率高、游戏体验稳定。,轻便易携带、办公效率高、游戏体验稳定,若特别在意续航持久，建议对比同价位其他型号。
P00053,笔记本电脑,星云,星云 S 62,12599,13899,4.4,30,206,1675,0.9768,0.7706,0.6594,0.6667,0.7621,0.6021,0.6596,0.7076,0.7691,0.6237,0.8419,836,面向编程开发场景的笔记本电脑，主打性能流畅、续航持久、办公效率高。,性能流畅、续航持久、办公效率高,若特别在意轻便易携带，建议对比同价位其他型号。
P00054,笔记本电脑,云驰,云驰 One 63,6199,6799,3.9,16,160,1269,0.7424,0.4128,0.4509,0.6805,0.3399,0.4721,0.6291,0.4871,0.3803,0.3235,0.6161,709,面向编程开发场景的笔记本电脑，主打性能流畅、屏幕素质好、游戏体验稳定。,性能流畅、屏幕素质好、游戏体验稳定,若特别在意续航持久，建议对比同价位其他型号。
P00055,笔记本电脑,极昼,极昼 Go 64,6899,7099,4.2,77,509,915,0.526,0.7637,0.6904,0.8405,0.4072,0.3288,0.5259,0.459,0.5044,0.4565,0.671,650,面向影音娱乐场景的笔记本电脑，主打屏幕素质好、续航持久、轻便易携带。,屏幕素质好、续航持久、轻便易携带,若特别在意办公效率高，建议对比同价位其他型号。
P00056,笔记本电脑,矩阵,矩阵 Studio 65,8099,8499,4.3,272,3034,435,0.7564,0.5926,0.6208,0.6653,0.5279,0.646,0.6911,0.8257,0.5384,0.5883,0.6014,620,面向编程开发场景的笔记本电脑，主打办公效率高、性能流畅、游戏体验稳定。,办公效率高、性能流畅、游戏体验稳定,若特别在意续航持久，建议对比同价位其他型号。
P00057,笔记本电脑,岚川,岚川 Air 66,8699,9799,4.4,9,101,1572,0.4627,0.7242,0.7896,0.8988,0.9125,0.4535,0.5279,0.6858,0.6114,0.6257,0.4332,85,面向差旅通勤场景的笔记本电脑，主打屏幕素质好、轻便易携带、续航持久。,屏幕素质好、轻便易携带、续航持久,若特别在意性能流畅，建议对比同价位其他型号。
P00058,笔记本电脑,岚川,岚川 Pro 67,8099,9699,4.4,64,575,1489,0.6001,0.3238,0.5421,0.5991,0.5862,0.5758,0.6117,0.8942,0.2456,0.5711,0.3678,25,面向轻度游戏场景的笔记本电脑，主打办公效率高、游戏体验稳定、性能流畅。,办公效率高、游戏体验稳定、性能流畅,若特别在意续航持久，建议对比同价位其他型号。
P00059,笔记本电脑,玄甲,玄甲 Max 68,9699,9999,4.6,964,6116,970,1.0,0.9116,0.7019,0.7678,0.8606,0.6862,0.7393,0.612,0.7064,0.7717,0.5246,740,面向影音娱乐场景的笔记本电脑，主打性能流畅、续航持久、屏幕素质好。,性能流畅、续航持久、屏幕素质好,若特别在意办公效率高，建议对比同价位其他型号。
P00060,笔记本电脑,极昼,极昼 Neo 69,4699,5099,3.9,10,80,919,0.5813,0.3934,0.4451,0.3993,0.0041,0.146,0.3554,0.3314,0.2525,0.2882,0.344,596,面向学习办公场景的笔记本电脑，主打性能流畅、轻便易携带、屏幕素质好。,性能流畅、轻便易携带、屏幕素质好,若特别在意办公效率高，建议对比同价位其他型号。
P00061,笔记本电脑,云驰,云驰 S 70,7699,8199,4.3,8,67,615,0.4413,0.7235,0.3734,0.5809,0.5753,0.5414,0.6623,0.6332,0.7833,0.4397,0.3059,637,面向影音娱乐场景的笔记本电脑，主打续航持久、游戏体验稳定、办公效率高。,续航持久、游戏体验稳定、办公效率高,若特别在意轻便易携带，建议对比同价位其他型号。
P00062,笔记本电脑,森屿,森屿 One 71,9199,10299,4.8,130,1342,1082,0.5096,0.749,0.6461,0.7185,0.6939,0.6884,0.715,0.6728,0.5939,0.6362,0.5978,268,面向轻度游戏场景的笔记本电脑，主打续航持久、屏幕素质好、游戏体验稳定。,续航持久、屏幕素质好、游戏体验稳定,若特别在意性能流畅，建议对比同价位其他型号。
P00063,笔记本电脑,森屿,森屿 Go 72,4799,5299,4.1,8,85,1290,0.5221,0.5105,0.4053,0.6275,0.2976,0.4049,0.6404,0.3395,0.3254,0.3066,0.2819,172,面向影音娱乐场景的笔记本电脑，主打游戏体验稳定、屏幕素质好、性能流畅。,游戏体验稳定、屏幕素质好、性能流畅,若特别在意办公效率高，建议对比同价位其他型号。
P00064,笔记本电脑,星云,星云 Studio 73,9299,9899,4.2,167,1510,1666,0.6731,0.8774,0.6331,1.0,0.6598,0.525,0.7508,0.7011,0.5512,0.3419,0.7213,706,面向轻度游戏场景的笔记本电脑，主打屏幕素质好、续航持久、游戏体验稳定。,屏幕素质好、续航持久、游戏体验稳定,若特别在意轻便易携带，建议对比同价位其他型号。
P00065,笔记本电脑,森屿,森屿 Air 74,3999,4199,4.1,412,2345,402,0.6351,0.6504,0.3504,0.3302,0.0994,0.1694,0.5577,0.5689,0.3569,0.4285,0.4709,97,面向轻度游戏场景的笔记本电脑，主打续航持久、性能流畅、办公效率高。,续航持久、性能流畅、办公效率高,若特别在意屏幕素质好，建议对比同价位其他型号。
P00066,笔记本电脑,玄甲,玄甲 Pro 75,9199,10699,4.3,532,5416,728,0.5695,0.5976,0.7958,0.7048,0.496,0.4874,0.4522,0.5999,0.5846,0.4856,0.3873,741,面向内容创作场景的笔记本电脑，主打轻便易携带、屏幕素质好、办公效率高。,轻便易携带、屏幕素质好、办公效率高,若特别在意游戏体验稳定，建议对比同价位其他型号。
P00067,笔记本电脑,岚川,岚川 Max 76,7999,8699,4.0,60,519,1493,0.668,0.6453,0.1928,0.7632,0.6355,0.5593,0.6144,0.6939,0.534,0.4767,0.5619,198,面向内容创作场景的笔记本电脑，主打屏幕素质好、办公效率高、性能流畅。,屏幕素质好、办公效率高、性能流畅,若特别在意轻便易携带，建议对比同价位其他型号。
P00068,笔记本电脑,澄光,澄光 Neo 77,8399,9899,4.3,30,654,1551,0.954,0.555,0.5831,0.9305,0.4697,0.5305,0.5967,0.7081,0.4707,0.4126,0.4472,288,面向内容创作场景的笔记本电脑，主打性能流畅、屏幕素质好、办公效率高。,性能流畅、屏幕素质好、办公效率高,若特别在意续航持久，建议对比同价位其他型号。
P00069,笔记本电脑,玄甲,玄甲 S 78,8199,9599,4.6,414,5018,1263,0.7073,0.5233,0.8641,0.5605,0.6938,0.5716,0.7399,0.8379,0.3534,0.6386,0.5048,34,面向差旅通勤场景的笔记本电脑，主打轻便易携带、办公效率高、游戏体验稳定。,轻便易携带、办公效率高、游戏体验稳定,若特别在意续航持久，建议对比同价位其他型号。
P00070,笔记本电脑,极昼,极昼 One 79,4999,5599,4.0,172,1195,1081,0.7766,0.4285,0.4876,0.2693,0.5685,0.2321,0.4473,0.5107,0.4544,0.3064,0.5558,547,面向编程开发场景的笔记本电脑，主打性能流畅、办公效率高、轻便易携带。,性能流畅、办公效率高、轻便易携带,若特别在意屏幕素质好，建议对比同价位其他型号。
P00071,笔记本电脑,极昼,极昼 Go 80,8299,9799,4.2,12,118,1499,0.8616,0.462,0.5594,0.5779,0.4835,0.5035,0.6439,0.5646,0.2795,0.4294,0.7054,298,面向编程开发场景的笔记本电脑，主打性能流畅、游戏体验稳定、屏幕素质好。,性能流畅、游戏体验稳定、屏幕素质好,若特别在意续航持久，建议对比同价位其他型号。
P00072,笔记本电脑,矩阵,矩阵 Studio 81,5899,6499,4.2,283,2117,843,0.5085,0.5476,0.5472,0.5861,0.3464,0.4214,0.7239,0.2698,0.4398,0.4243,0.3005,180,面向学习办公场景的笔记本电脑，主打游戏体验稳定、屏幕素质好、续航持久。,游戏体验稳定、屏幕素质好、续航持久,若特别在意办公效率高，建议对比同价位其他型号。
P00073,笔记本电脑,矩阵,矩阵 Air 82,7099,8299,4.5,341,2553,1600,0.377,0.6209,0.5921,0.52,0.6262,0.4267,0.5124,0.8337,0.5037,0.6761,0.5002,552,面向差旅通勤场景的笔记本电脑，主打办公效率高、续航持久、轻便易携带。,办公效率高、续航持久、轻便易携带,若特别在意性能流畅，建议对比同价位其他型号。
P00074,笔记本电脑,森屿,森屿 Pro 83,5099,5799,4.5,43,284,1454,0.3801,0.588,0.4765,0.3986,0.3071,0.2766,0.5509,0.2921,0.3908,0.484,0.4538,821,面向内容创作场景的笔记本电脑，主打续航持久、游戏体验稳定、轻便易携带。,续航持久、游戏体验稳定、轻便易携带,若特别在意办公效率高，建议对比同价位其他型号。
